year,month,day,hour,power,lat,lng,PRES,WND
1988,11,2,0,1,11.0,125.5,1004.0,12.0
1988,11,2,6,1,10.0,124.8,1000.0,12.0
1988,11,2,12,1,9.6,124.5,1000.0,12.0
1988,11,2,18,1,9.3,123.6,1000.0,12.0
1988,11,3,0,1,9.2,122.8,1000.0,15.0
1988,11,3,6,1,9.0,122.0,1000.0,15.0
1988,11,3,12,1,8.8,121.0,1000.0,15.0
1988,11,3,18,1,8.8,120.0,1000.0,15.0
1988,11,4,0,1,8.9,119.3,998.0,15.0
1988,11,4,6,2,8.9,118.7,995.0,20.0
1988,11,4,12,2,9.2,117.9,990.0,20.0
1988,11,4,18,2,9.3,117.1,990.0,20.0
1988,11,5,0,2,9.6,116.1,990.0,20.0
1988,11,5,6,3,10.0,115.0,985.0,25.0
1988,11,5,12,3,10.2,113.4,980.0,30.0
1988,11,5,18,4,10.4,112.1,975.0,35.0
1988,11,6,0,4,10.6,111.0,975.0,35.0
1988,11,6,6,3,11.0,110.1,980.0,30.0
1988,11,6,12,3,11.6,108.7,985.0,25.0
1988,11,6,18,2,11.8,107.8,992.0,20.0
1988,11,7,0,1,12.0,107.0,1004.0,15.0
