year,month,day,hour,power,lat,lng,PRES,WND
1989,10,1,18,1,11.5,150.0,1000.0,15.0
1989,10,2,0,2,11.7,149.2,995.0,20.0
1989,10,2,6,2,12.0,148.3,995.0,20.0
1989,10,2,12,2,12.3,147.6,995.0,20.0
1989,10,2,18,2,12.7,147.4,995.0,20.0
1989,10,3,0,3,14.3,147.4,990.0,25.0
1989,10,3,6,3,15.4,146.6,985.0,25.0
1989,10,3,12,3,16.2,146.2,980.0,25.0
1989,10,3,18,3,17.2,145.8,975.0,30.0
1989,10,4,0,4,18.1,145.4,970.0,35.0
1989,10,4,6,4,18.8,145.3,970.0,35.0
1989,10,4,12,4,19.5,144.9,970.0,35.0
1989,10,4,18,4,20.2,144.6,965.0,40.0
1989,10,5,0,4,20.7,144.4,960.0,40.0
1989,10,5,6,4,21.4,144.1,960.0,40.0
1989,10,5,12,4,22.0,143.8,960.0,40.0
1989,10,5,18,4,22.7,143.5,960.0,40.0
1989,10,6,0,4,23.5,142.6,960.0,40.0
1989,10,6,6,4,24.7,141.6,960.0,40.0
1989,10,6,12,4,25.4,140.9,960.0,40.0
1989,10,6,18,4,26.4,140.6,960.0,40.0
1989,10,7,0,4,27.3,140.9,970.0,35.0
1989,10,7,6,4,29.2,141.5,970.0,35.0
1989,10,7,12,4,30.8,142.9,970.0,35.0
1989,10,7,18,4,33.1,145.2,970.0,35.0
1989,10,8,0,4,36.4,148.4,970.0,35.0
1989,10,8,6,4,39.8,152.8,970.0,35.0
1989,10,8,12,4,44.0,157.7,970.0,35.0
