year,month,day,hour,power,lat,lng,PRES,WND
1989,11,24,6,0,14.8,152.8,1004.0,10.0
1989,11,24,12,0,14.5,151.8,1004.0,10.0
1989,11,24,18,1,14.1,150.9,1002.0,12.0
1989,11,25,0,1,13.6,150.0,1002.0,15.0
1989,11,25,6,1,13.2,149.2,1000.0,15.0
1989,11,25,12,1,12.5,148.3,1000.0,15.0
1989,11,25,18,1,11.9,147.5,1000.0,15.0
1989,11,26,0,1,11.4,146.6,1000.0,15.0
1989,11,26,6,1,10.9,146.1,1000.0,15.0
1989,11,26,12,1,10.5,145.5,1000.0,15.0
1989,11,26,18,1,10.1,144.8,1000.0,15.0
1989,11,27,0,2,10.0,144.2,995.0,20.0
1989,11,27,6,2,10.0,143.8,990.0,20.0
1989,11,27,12,3,9.9,143.0,990.0,25.0
1989,11,27,18,3,10.0,142.5,985.0,25.0
1989,11,28,0,3,10.1,141.9,980.0,30.0
1989,11,28,6,4,10.6,141.1,970.0,35.0
1989,11,28,12,4,10.9,140.1,970.0,35.0
1989,11,28,18,4,11.4,139.0,960.0,40.0
1989,11,29,0,5,12.0,137.9,955.0,45.0
1989,11,29,6,5,12.5,136.7,945.0,45.0
1989,11,29,12,5,12.6,135.7,935.0,50.0
1989,11,29,18,5,13.0,135.2,935.0,50.0
1989,11,30,0,5,13.2,134.4,935.0,50.0
1989,11,30,6,6,13.6,133.4,925.0,55.0
1989,11,30,12,6,13.9,132.7,925.0,60.0
1989,11,30,18,6,14.0,132.1,925.0,60.0
1989,12,1,0,6,14.3,131.8,935.0,55.0
1989,12,1,6,5,14.6,131.3,945.0,50.0
1989,12,1,12,5,14.9,131.0,945.0,50.0
1989,12,1,18,5,15.0,130.7,950.0,45.0
1989,12,2,0,4,15.3,130.7,960.0,40.0
1989,12,2,6,4,15.7,130.6,960.0,40.0
1989,12,2,12,4,16.2,130.7,960.0,40.0
1989,12,2,18,4,16.7,131.1,960.0,40.0
1989,12,3,0,4,17.1,131.8,960.0,40.0
1989,12,3,6,4,17.8,132.3,970.0,35.0
1989,12,3,12,3,18.8,133.0,980.0,30.0
1989,12,3,18,3,19.8,134.1,980.0,30.0
1989,12,4,0,3,20.6,135.7,985.0,25.0
1989,12,4,6,2,21.3,137.1,990.0,20.0
1989,12,4,12,1,21.8,138.6,1002.0,15.0
1989,12,4,18,1,22.1,140.0,1002.0,15.0
1989,12,5,0,1,22.3,141.5,1002.0,15.0
1989,12,5,6,1,22.5,143.0,1004.0,15.0
1989,12,5,12,1,22.6,144.5,1005.0,12.0
