year,month,day,hour,power,lat,lng,PRES,WND
1989,12,22,0,1,8.5,156.0,1006.0,12.0
1989,12,22,6,1,8.5,156.0,1004.0,12.0
1989,12,22,12,1,8.6,154.9,1002.0,15.0
1989,12,22,18,1,9.5,154.0,1002.0,15.0
1989,12,23,0,1,10.3,152.7,1000.0,15.0
1989,12,23,6,1,10.8,152.1,1000.0,15.0
1989,12,23,12,2,11.2,151.7,995.0,20.0
1989,12,23,18,3,11.7,151.2,990.0,25.0
1989,12,24,0,3,12.1,150.6,985.0,30.0
1989,12,24,6,3,12.7,150.2,980.0,30.0
1989,12,24,12,3,12.9,149.6,980.0,30.0
1989,12,24,18,4,12.9,149.3,970.0,35.0
1989,12,25,0,4,13.0,149.0,960.0,40.0
1989,12,25,6,5,13.2,148.8,950.0,45.0
1989,12,25,12,5,13.6,148.5,940.0,50.0
1989,12,25,18,6,13.8,148.2,930.0,55.0
1989,12,26,0,6,13.9,148.2,925.0,55.0
1989,12,26,6,5,13.9,148.2,930.0,50.0
1989,12,26,12,5,13.9,148.2,930.0,45.0
1989,12,26,18,5,13.9,148.2,935.0,45.0
1989,12,27,0,4,13.7,147.9,940.0,35.0
1989,12,27,6,4,13.2,148.0,960.0,35.0
1989,12,27,12,3,12.7,147.8,980.0,30.0
1989,12,27,18,2,12.2,147.6,990.0,20.0
1989,12,28,0,1,11.2,147.4,1004.0,12.0
