year,month,day,hour,power,lat,lng,PRES,WND
1989,8,10,0,0,14.0,143.0,1004.0,10.0
1989,8,10,6,0,14.6,142.2,1003.0,10.0
1989,8,10,12,0,15.4,141.7,1003.0,10.0
1989,8,10,18,0,16.5,141.8,1003.0,10.0
1989,8,11,0,0,17.3,142.5,1003.0,10.0
1989,8,11,6,0,17.8,143.7,1003.0,10.0
1989,8,11,12,0,18.5,144.7,1003.0,10.0
1989,8,11,18,0,19.2,145.3,1003.0,10.0
1989,8,12,0,1,19.5,146.5,1002.0,15.0
1989,8,12,6,1,19.2,147.3,1002.0,15.0
1989,8,12,12,1,19.1,148.1,1000.0,15.0
1989,8,12,18,1,18.9,148.5,998.0,15.0
1989,8,13,0,2,18.5,148.9,995.0,20.0
1989,8,13,6,3,18.5,149.8,985.0,25.0
1989,8,13,12,3,18.6,151.0,985.0,25.0
1989,8,13,18,3,19.6,151.6,980.0,30.0
1989,8,14,0,3,20.8,152.2,975.0,30.0
1989,8,14,6,4,22.3,152.3,965.0,35.0
1989,8,14,12,4,23.5,151.9,965.0,35.0
1989,8,14,18,4,25.0,151.5,960.0,40.0
1989,8,15,0,4,26.1,150.8,960.0,40.0
1989,8,15,6,4,27.4,150.3,960.0,40.0
1989,8,15,12,4,28.5,149.7,960.0,40.0
1989,8,15,18,4,29.3,149.0,960.0,40.0
1989,8,16,0,4,30.5,148.0,970.0,35.0
1989,8,16,6,3,31.5,147.0,975.0,30.0
1989,8,16,12,3,32.5,146.3,975.0,30.0
1989,8,16,18,3,33.4,145.9,975.0,30.0
1989,8,17,0,3,34.4,145.6,985.0,25.0
1989,8,17,6,3,36.3,145.6,985.0,25.0
1989,8,17,12,3,37.4,146.0,985.0,25.0
1989,8,17,18,3,38.6,146.6,985.0,25.0
1989,8,18,0,2,40.1,147.7,990.0,20.0
1989,8,18,6,2,41.6,148.6,990.0,20.0
1989,8,18,12,2,43.1,149.8,990.0,20.0
1989,8,18,18,2,44.3,151.3,990.0,20.0
1989,8,19,0,2,45.6,153.0,990.0,20.0
