year,month,day,hour,power,lat,lng,PRES,WND
1989,8,23,0,1,27.0,122.0,1004.0,12.0
1989,8,23,6,1,27.7,122.6,1004.0,12.0
1989,8,23,12,1,27.5,123.2,1002.0,15.0
1989,8,23,18,1,27.0,123.5,1000.0,15.0
1989,8,24,0,2,27.0,123.5,995.0,20.0
1989,8,24,6,2,26.7,123.8,995.0,20.0
1989,8,24,12,2,26.3,124.1,995.0,20.0
1989,8,24,18,2,26.0,124.3,995.0,20.0
1989,8,25,0,2,25.5,125.0,995.0,20.0
1989,8,25,6,2,25.0,125.7,993.0,20.0
1989,8,25,12,2,24.6,126.6,995.0,20.0
1989,8,25,18,2,24.9,128.5,995.0,20.0
1989,8,26,0,3,26.5,130.1,990.0,25.0
1989,8,26,6,3,29.2,131.2,990.0,25.0
1989,8,26,12,3,30.6,131.9,985.0,25.0
1989,8,26,18,3,31.8,132.7,985.0,25.0
1989,8,27,0,3,33.4,134.1,980.0,25.0
1989,8,27,6,3,34.8,135.6,975.0,25.0
1989,8,27,12,3,37.5,137.8,980.0,25.0
1989,8,27,18,3,39.8,139.6,985.0,25.0
1989,8,28,0,3,42.0,140.6,985.0,25.0
1989,8,28,6,2,43.7,142.5,985.0,20.0
1989,8,28,12,2,46.0,145.0,985.0,20.0
