year,month,day,hour,power,lat,lng,PRES,WND
1990,8,24,6,1,12.5,144.0,1000.0,12.0
1990,8,24,12,1,12.8,143.7,1000.0,15.0
1990,8,24,18,1,13.0,143.5,998.0,15.0
1990,8,25,0,2,13.4,143.3,995.0,20.0
1990,8,25,6,2,13.7,143.2,990.0,20.0
1990,8,25,12,2,14.0,143.0,990.0,20.0
1990,8,25,18,2,14.3,142.6,990.0,20.0
1990,8,26,0,3,14.5,142.3,990.0,25.0
1990,8,26,6,3,15.0,142.0,988.0,25.0
1990,8,26,12,3,15.7,141.7,985.0,25.0
1990,8,26,18,3,16.5,141.1,985.0,25.0
1990,8,27,0,3,17.8,140.4,985.0,25.0
1990,8,27,6,3,19.1,140.0,985.0,25.0
1990,8,27,12,3,20.4,138.9,985.0,25.0
1990,8,27,18,3,21.4,137.0,980.0,30.0
1990,8,28,0,3,21.7,135.5,980.0,30.0
1990,8,28,6,3,21.9,134.2,975.0,30.0
1990,8,28,12,4,22.2,132.6,970.0,35.0
1990,8,28,18,4,22.8,130.5,970.0,35.0
1990,8,29,0,4,23.5,129.1,970.0,35.0
1990,8,29,6,4,24.0,127.7,970.0,35.0
1990,8,29,12,4,24.5,126.5,965.0,40.0
1990,8,29,18,5,24.7,125.3,955.0,45.0
1990,8,30,0,5,25.2,124.6,955.0,45.0
1990,8,30,6,5,25.8,123.8,955.0,45.0
1990,8,30,12,5,26.6,122.9,955.0,45.0
1990,8,30,18,5,27.4,122.4,955.0,45.0
1990,8,31,0,4,28.4,121.8,965.0,40.0
1990,8,31,6,3,29.1,120.9,980.0,30.0
1990,8,31,12,3,29.8,120.6,980.0,30.0
1990,8,31,18,3,30.6,120.4,985.0,25.0
1990,9,1,0,3,31.6,120.4,985.0,25.0
1990,9,1,6,2,32.7,120.7,990.0,20.0
1990,9,1,12,2,35.0,122.0,990.0,20.0
1990,9,1,18,2,36.1,123.5,990.0,20.0
1990,9,2,0,2,37.0,125.0,995.0,20.0
1990,9,2,6,1,38.0,127.0,995.0,15.0
1990,9,2,12,1,39.0,129.0,1000.0,12.0
1990,9,2,18,1,39.9,131.0,1000.0,12.0
