year,month,day,hour,power,lat,lng,PRES,WND
1990,9,9,18,0,18.5,148.5,1004.0,10.0
1990,9,10,0,1,19.0,147.5,1002.0,12.0
1990,9,10,6,1,19.5,146.5,1002.0,12.0
1990,9,10,12,1,19.7,145.5,1002.0,12.0
1990,9,10,18,1,19.8,144.0,1000.0,15.0
1990,9,11,0,1,19.8,142.5,998.0,15.0
1990,9,11,6,1,19.6,141.0,998.0,15.0
1990,9,11,12,2,19.2,137.9,995.0,20.0
1990,9,11,18,2,19.4,137.5,995.0,20.0
1990,9,12,0,2,19.5,137.0,995.0,20.0
1990,9,12,6,2,19.6,136.3,995.0,20.0
1990,9,12,12,3,19.9,135.0,990.0,25.0
1990,9,12,18,3,20.1,133.5,990.0,25.0
1990,9,13,0,3,20.0,132.0,985.0,25.0
1990,9,13,6,3,19.8,130.2,985.0,25.0
1990,9,13,12,3,19.8,128.5,985.0,25.0
1990,9,13,18,3,19.8,126.8,985.0,25.0
1990,9,14,0,3,19.7,124.7,980.0,30.0
1990,9,14,6,3,19.3,123.4,980.0,30.0
1990,9,14,12,4,19.0,121.2,970.0,35.0
1990,9,14,18,4,18.4,120.0,970.0,35.0
1990,9,15,0,4,18.1,119.0,970.0,35.0
1990,9,15,6,4,17.7,118.0,970.0,35.0
1990,9,15,12,4,17.5,117.0,970.0,35.0
1990,9,15,18,4,17.0,116.0,970.0,35.0
1990,9,16,0,4,16.8,115.0,970.0,35.0
1990,9,16,6,4,16.5,114.2,970.0,35.0
1990,9,16,12,4,16.2,113.5,970.0,35.0
1990,9,16,18,4,16.1,112.9,970.0,35.0
1990,9,17,0,4,16.1,112.3,970.0,35.0
1990,9,17,6,4,16.2,111.9,970.0,35.0
1990,9,17,12,4,16.2,111.0,970.0,35.0
1990,9,17,18,4,16.3,110.4,970.0,35.0
1990,9,18,0,4,16.3,109.7,970.0,35.0
1990,9,18,6,3,16.6,108.9,980.0,30.0
1990,9,18,12,3,16.7,108.2,980.0,30.0
1990,9,18,18,3,16.8,107.6,980.0,30.0
1990,9,19,0,3,17.0,107.2,985.0,25.0
1990,9,19,6,2,17.3,106.7,990.0,20.0
1990,9,19,12,2,17.6,106.6,990.0,20.0
1990,9,19,18,2,18.5,106.3,990.0,20.0
1990,9,20,0,1,19.3,105.5,1000.0,15.0
1990,9,20,6,1,19.8,104.8,1000.0,15.0
