year,month,day,hour,power,lat,lng,PRES,WND
1990,11,9,12,1,13.0,115.5,1002.0,15.0
1990,11,9,18,1,13.0,114.5,1000.0,15.0
1990,11,10,0,1,13.0,113.0,1000.0,15.0
1990,11,10,6,1,13.0,112.0,1000.0,15.0
1990,11,10,12,2,12.9,111.5,995.0,20.0
1990,11,10,18,2,12.8,111.0,995.0,20.0
1990,11,11,0,2,12.5,112.5,990.0,20.0
1990,11,11,6,3,12.6,112.0,990.0,25.0
1990,11,11,12,3,12.7,111.5,985.0,25.0
1990,11,11,18,3,13.1,111.0,985.0,25.0
1990,11,12,0,2,13.0,110.5,990.0,20.0
1990,11,12,6,1,12.9,108.8,995.0,15.0
1990,11,12,12,0,12.7,107.5,1002.0,10.0
