year,month,day,hour,power,lat,lng,PRES,WND
1990,6,16,6,1,8.5,139.0,1004.0,12.0
1990,6,16,12,1,8.8,138.0,1004.0,12.0
1990,6,16,18,1,9.0,137.0,1002.0,12.0
1990,6,17,0,1,9.0,136.0,1000.0,15.0
1990,6,17,6,1,9.0,135.0,1000.0,15.0
1990,6,17,12,1,9.0,134.0,1000.0,15.0
1990,6,17,18,1,9.1,133.3,1000.0,15.0
1990,6,18,0,1,9.3,132.5,998.0,15.0
1990,6,18,6,2,9.4,131.5,990.0,20.0
1990,6,18,12,2,9.5,130.3,990.0,20.0
1990,6,18,18,2,9.7,129.3,990.0,20.0
1990,6,19,0,2,9.8,129.0,990.0,20.0
1990,6,19,6,2,9.9,128.7,990.0,20.0
1990,6,19,12,2,10.0,128.5,990.0,20.0
1990,6,19,18,3,10.2,128.4,985.0,25.0
1990,6,20,0,3,10.8,128.2,985.0,25.0
1990,6,20,6,3,11.3,128.0,980.0,30.0
1990,6,20,12,3,12.0,127.7,980.0,30.0
1990,6,20,18,3,13.5,126.7,980.0,30.0
1990,6,21,0,3,14.8,126.0,975.0,30.0
1990,6,21,6,3,16.4,124.8,975.0,30.0
1990,6,21,12,3,17.4,124.0,975.0,30.0
1990,6,21,18,4,18.0,123.2,970.0,35.0
1990,6,22,0,4,18.8,122.7,970.0,35.0
1990,6,22,6,4,19.9,121.9,970.0,35.0
1990,6,22,12,4,20.2,121.4,965.0,40.0
1990,6,22,18,4,20.9,121.4,965.0,40.0
1990,6,23,0,4,22.3,121.4,965.0,40.0
1990,6,23,6,4,23.8,121.4,965.0,40.0
1990,6,23,12,4,25.0,121.2,970.0,35.0
1990,6,23,18,3,26.6,120.5,980.0,30.0
1990,6,24,0,3,28.5,120.3,985.0,25.0
1990,6,24,6,2,30.0,120.3,990.0,20.0
1990,6,24,12,2,31.4,120.2,990.0,20.0
1990,6,24,18,2,33.1,120.3,990.0,20.0
1990,6,25,0,1,34.3,121.3,995.0,15.0
1990,6,25,6,1,35.2,122.7,995.0,15.0
1990,6,25,12,9,36.0,124.2,995.0,15.0
1990,6,25,18,9,36.9,126.4,995.0,15.0
1990,6,26,0,9,37.7,129.1,995.0,15.0
