year,month,day,hour,power,lat,lng,PRES,WND
1990,6,20,18,1,11.0,146.5,1004.0,12.0
1990,6,21,0,1,10.9,146.0,1002.0,15.0
1990,6,21,6,2,10.5,145.5,998.0,20.0
1990,6,21,12,2,10.2,145.0,995.0,20.0
1990,6,21,18,2,9.3,144.3,990.0,20.0
1990,6,22,0,2,8.4,143.8,990.0,20.0
1990,6,22,6,3,7.4,143.3,985.0,25.0
1990,6,22,12,3,7.4,143.3,985.0,25.0
1990,6,22,18,3,7.2,142.5,985.0,25.0
1990,6,23,0,3,7.3,141.8,980.0,30.0
1990,6,23,6,3,7.8,140.7,980.0,30.0
1990,6,23,12,3,8.0,139.5,980.0,30.0
1990,6,23,18,4,8.5,138.0,970.0,35.0
1990,6,24,0,4,8.9,136.7,970.0,35.0
1990,6,24,6,4,9.7,135.3,970.0,35.0
1990,6,24,12,4,10.5,133.6,960.0,40.0
1990,6,24,18,4,11.3,132.4,960.0,40.0
1990,6,25,0,5,11.9,131.1,950.0,45.0
1990,6,25,6,5,12.3,130.0,950.0,45.0
1990,6,25,12,5,13.0,129.0,950.0,45.0
1990,6,25,18,5,14.0,128.0,950.0,45.0
1990,6,26,0,5,14.7,126.9,950.0,45.0
1990,6,26,6,5,15.4,125.8,950.0,45.0
1990,6,26,12,5,15.7,124.5,950.0,45.0
1990,6,26,18,5,16.4,123.7,950.0,45.0
1990,6,27,0,5,17.2,122.7,950.0,45.0
1990,6,27,6,4,17.9,121.9,960.0,40.0
1990,6,27,12,4,19.2,120.8,960.0,40.0
1990,6,27,18,4,19.8,119.6,960.0,40.0
1990,6,28,0,4,20.2,119.2,960.0,40.0
1990,6,28,6,4,21.0,118.6,960.0,40.0
1990,6,28,12,4,21.7,118.2,960.0,40.0
1990,6,28,18,4,22.4,117.8,960.0,40.0
1990,6,29,0,4,23.0,117.6,960.0,40.0
1990,6,29,6,4,23.5,117.5,965.0,40.0
1990,6,29,12,3,24.2,117.7,980.0,30.0
1990,6,29,18,3,25.0,118.3,990.0,25.0
1990,6,30,0,2,25.8,118.8,995.0,20.0
1990,6,30,6,0,26.7,118.8,997.0,10.0
