year,month,day,hour,power,lat,lng,PRES,WND
1991,9,2,6,1,7.5,155.5,1002.0,15.0
1991,9,2,12,1,7.9,154.6,1000.0,15.0
1991,9,2,18,1,8.6,154.4,1000.0,15.0
1991,9,3,0,2,9.5,154.0,995.0,20.0
1991,9,3,6,2,10.2,153.5,995.0,20.0
1991,9,3,12,2,10.6,152.8,990.0,20.0
1991,9,3,18,2,11.0,152.0,990.0,20.0
1991,9,4,0,3,11.5,150.8,985.0,25.0
1991,9,4,6,3,12.2,150.0,985.0,25.0
1991,9,4,12,3,13.0,149.0,985.0,25.0
1991,9,4,18,3,13.9,148.5,985.0,25.0
1991,9,5,0,3,14.7,148.0,985.0,25.0
1991,9,5,6,3,16.1,147.6,980.0,30.0
1991,9,5,12,4,17.5,147.0,970.0,35.0
1991,9,5,18,4,19.2,145.9,970.0,35.0
1991,9,6,0,4,20.7,145.4,970.0,35.0
1991,9,6,6,4,22.3,144.0,965.0,40.0
1991,9,6,12,4,23.3,142.4,960.0,40.0
1991,9,6,18,5,24.4,141.1,950.0,45.0
1991,9,7,0,5,25.5,140.0,950.0,45.0
1991,9,7,6,5,26.2,139.1,950.0,45.0
1991,9,7,12,5,27.3,138.1,940.0,50.0
1991,9,7,18,5,28.2,137.6,940.0,50.0
1991,9,8,0,5,29.0,137.2,940.0,50.0
1991,9,8,6,5,30.3,137.5,950.0,45.0
1991,9,8,12,5,31.1,138.2,950.0,45.0
1991,9,8,18,4,32.1,139.1,960.0,40.0
1991,9,9,0,4,32.8,140.6,960.0,40.0
1991,9,9,6,4,33.9,142.4,960.0,40.0
1991,9,9,12,4,34.8,145.2,965.0,35.0
1991,9,9,18,4,35.8,148.2,965.0,35.0
1991,9,10,0,4,37.2,151.8,965.0,35.0
1991,9,10,6,3,38.6,155.3,975.0,30.0
1991,9,10,12,9,39.6,159.0,980.0,25.0
1991,9,10,18,9,40.0,162.0,985.0,20.0
1991,9,11,0,9,41.0,166.0,990.0,15.0
1991,9,11,6,9,43.0,169.0,990.0,15.0
