year,month,day,hour,power,lat,lng,PRES,WND
1991,9,13,0,1,12.7,171.4,1008.0,12.0
1991,9,13,6,1,12.5,170.5,1008.0,12.0
1991,9,13,12,1,12.5,170.0,1008.0,12.0
1991,9,13,18,1,12.6,169.3,1008.0,12.0
1991,9,14,0,1,12.9,168.7,1006.0,12.0
1991,9,14,6,1,13.1,167.9,1004.0,12.0
1991,9,14,12,1,13.1,167.1,1004.0,12.0
1991,9,14,18,1,13.4,166.0,1004.0,12.0
1991,9,15,0,1,13.5,164.8,1002.0,15.0
1991,9,15,6,1,13.6,163.1,1002.0,15.0
1991,9,15,12,1,14.0,161.6,1002.0,15.0
1991,9,15,18,1,14.5,159.9,1002.0,15.0
1991,9,16,0,2,14.9,158.7,995.0,20.0
1991,9,16,6,2,15.1,157.6,990.0,20.0
1991,9,16,12,3,15.2,156.6,985.0,25.0
1991,9,16,18,3,15.5,155.9,980.0,30.0
1991,9,17,0,4,15.8,155.2,975.0,35.0
1991,9,17,6,4,16.0,154.4,975.0,35.0
1991,9,17,12,4,16.2,153.7,970.0,35.0
1991,9,17,18,4,16.2,153.1,965.0,35.0
1991,9,18,0,4,16.0,152.5,965.0,35.0
1991,9,18,6,4,15.8,151.8,965.0,35.0
1991,9,18,12,4,15.5,151.0,965.0,35.0
1991,9,18,18,4,15.4,150.2,955.0,40.0
1991,9,19,0,4,15.4,149.0,955.0,40.0
1991,9,19,6,5,15.4,147.6,950.0,45.0
1991,9,19,12,5,15.6,146.0,950.0,45.0
1991,9,19,18,5,15.6,144.5,950.0,45.0
1991,9,20,0,5,15.4,143.3,950.0,45.0
1991,9,20,6,5,15.2,142.0,950.0,45.0
1991,9,20,12,5,15.0,140.6,950.0,45.0
1991,9,20,18,5,14.7,139.4,950.0,45.0
1991,9,21,0,5,14.4,138.4,950.0,45.0
1991,9,21,6,5,14.4,137.2,950.0,45.0
1991,9,21,12,5,14.7,136.2,950.0,45.0
1991,9,21,18,5,15.1,135.3,940.0,50.0
1991,9,22,0,5,15.4,134.5,940.0,50.0
1991,9,22,6,5,15.7,133.8,940.0,50.0
1991,9,22,12,6,16.3,133.2,935.0,55.0
1991,9,22,18,6,16.9,132.6,935.0,55.0
1991,9,23,0,6,17.5,132.1,935.0,55.0
1991,9,23,6,6,18.2,131.5,935.0,55.0
1991,9,23,12,6,18.7,130.8,930.0,55.0
1991,9,23,18,6,19.1,130.1,930.0,55.0
1991,9,24,0,6,19.3,129.7,930.0,55.0
1991,9,24,6,6,20.0,129.2,930.0,55.0
1991,9,24,12,6,20.5,128.8,930.0,55.0
1991,9,24,18,6,21.0,128.2,930.0,55.0
1991,9,25,0,6,21.5,127.7,930.0,55.0
1991,9,25,6,6,22.2,127.3,930.0,55.0
1991,9,25,12,5,23.1,126.7,940.0,50.0
1991,9,25,18,5,23.8,126.2,940.0,50.0
1991,9,26,0,5,24.4,125.8,940.0,50.0
1991,9,26,6,5,25.4,125.7,940.0,50.0
1991,9,26,12,5,26.5,126.0,940.0,50.0
1991,9,26,18,5,28.0,126.4,940.0,50.0
1991,9,27,0,5,29.7,127.6,940.0,50.0
1991,9,27,6,5,32.5,129.3,945.0,45.0
1991,9,27,12,4,35.7,132.3,955.0,40.0
1991,9,27,18,4,39.1,136.4,960.0,35.0
1991,9,28,0,4,43.5,141.9,970.0,35.0
1991,9,28,6,9,47.0,148.0,965.0,30.0
1991,9,28,12,9,48.0,152.0,965.0,25.0
