year,month,day,hour,power,lat,lng,PRES,WND
1991,10,5,12,1,14.8,157.0,1002.0,12.0
1991,10,5,18,1,15.0,156.0,1000.0,15.0
1991,10,6,0,2,15.3,155.0,995.0,20.0
1991,10,6,6,2,15.6,153.8,995.0,20.0
1991,10,6,12,2,15.8,153.1,995.0,20.0
1991,10,6,18,3,16.0,152.6,985.0,25.0
1991,10,7,0,3,16.1,152.0,975.0,30.0
1991,10,7,6,3,16.4,151.7,975.0,30.0
1991,10,7,12,4,17.0,151.5,965.0,35.0
1991,10,7,18,4,17.5,151.3,965.0,35.0
1991,10,8,0,4,17.8,151.2,955.0,40.0
1991,10,8,6,5,18.2,151.1,945.0,45.0
1991,10,8,12,5,19.1,151.1,945.0,45.0
1991,10,8,18,5,19.6,150.9,945.0,45.0
1991,10,9,0,5,20.2,150.7,940.0,45.0
1991,10,9,6,5,20.9,150.3,930.0,50.0
1991,10,9,12,5,21.3,149.8,930.0,50.0
1991,10,9,18,5,21.8,149.6,930.0,50.0
1991,10,10,0,5,22.3,149.6,930.0,50.0
1991,10,10,6,5,22.8,149.6,930.0,50.0
1991,10,10,12,5,23.4,149.8,940.0,45.0
1991,10,10,18,4,24.3,150.1,950.0,40.0
1991,10,11,0,4,25.0,150.6,955.0,40.0
1991,10,11,6,4,26.3,151.3,965.0,35.0
1991,10,11,12,4,27.6,151.4,965.0,35.0
1991,10,11,18,4,29.5,151.5,965.0,35.0
1991,10,12,0,4,31.5,151.8,965.0,35.0
1991,10,12,6,4,33.7,152.1,965.0,35.0
1991,10,12,12,4,35.9,153.0,965.0,35.0
1991,10,12,18,3,38.4,154.3,975.0,30.0
1991,10,13,0,3,40.5,155.3,975.0,30.0
1991,10,13,6,9,42.4,156.9,975.0,30.0
1991,10,13,12,9,44.1,159.0,985.0,25.0
1991,10,13,18,9,45.0,162.0,985.0,25.0
1991,10,14,0,9,46.0,165.0,990.0,20.0
