year,month,day,hour,power,lat,lng,PRES,WND
1991,5,6,0,1,6.5,151.5,1002.0,15.0
1991,5,6,6,1,6.5,151.0,1002.0,15.0
1991,5,6,12,1,6.5,151.0,1000.0,15.0
1991,5,6,18,1,7.5,150.7,998.0,15.0
1991,5,7,0,2,8.0,150.5,995.0,20.0
1991,5,7,6,2,8.4,149.8,995.0,20.0
1991,5,7,12,2,8.7,149.3,995.0,20.0
1991,5,7,18,2,8.8,148.8,995.0,20.0
1991,5,8,0,2,9.0,148.5,990.0,20.0
1991,5,8,6,3,9.3,147.8,985.0,25.0
1991,5,8,12,3,9.5,147.3,985.0,25.0
1991,5,8,18,3,9.9,146.8,980.0,30.0
1991,5,9,0,4,10.5,146.1,970.0,35.0
1991,5,9,6,4,11.0,145.2,960.0,40.0
1991,5,9,12,4,11.2,144.2,955.0,40.0
1991,5,9,18,4,11.4,143.2,950.0,40.0
1991,5,10,0,5,11.7,142.1,940.0,45.0
1991,5,10,6,5,12.1,140.9,935.0,50.0
1991,5,10,12,5,12.4,139.7,935.0,50.0
1991,5,10,18,5,12.8,138.4,935.0,50.0
1991,5,11,0,5,13.0,137.0,940.0,50.0
1991,5,11,6,5,13.4,135.6,940.0,50.0
1991,5,11,12,5,13.7,134.1,940.0,50.0
1991,5,11,18,5,14.0,132.8,940.0,50.0
1991,5,12,0,6,14.4,131.6,935.0,55.0
1991,5,12,6,6,14.8,130.6,925.0,60.0
1991,5,12,12,6,15.3,129.6,920.0,60.0
1991,5,12,18,6,15.7,128.5,920.0,60.0
1991,5,13,0,6,15.9,127.8,920.0,60.0
1991,5,13,6,6,16.3,127.1,920.0,60.0
1991,5,13,12,6,16.7,126.4,920.0,60.0
1991,5,13,18,6,17.2,125.8,920.0,60.0
1991,5,14,0,6,17.7,125.4,930.0,55.0
1991,5,14,6,5,18.2,125.0,940.0,50.0
1991,5,14,12,5,19.0,124.9,950.0,45.0
1991,5,14,18,5,19.7,124.8,950.0,45.0
1991,5,15,0,4,20.5,124.6,960.0,40.0
1991,5,15,6,4,21.3,124.9,960.0,40.0
1991,5,15,12,4,22.3,126.0,965.0,35.0
1991,5,15,18,4,23.3,126.9,970.0,35.0
1991,5,16,0,3,24.3,128.3,980.0,30.0
1991,5,16,6,3,25.2,130.5,980.0,30.0
1991,5,16,12,3,26.4,133.9,985.0,25.0
1991,5,16,18,3,27.8,137.1,985.0,25.0
1991,5,17,0,2,29.6,142.1,990.0,20.0
1991,5,17,6,2,31.5,148.0,990.0,20.0
1991,5,17,12,1,36.5,153.0,995.0,15.0
