year,month,day,hour,power,lat,lng,PRES,WND
1991,11,14,0,1,7.5,134.0,1006.0,12.0
1991,11,14,6,1,8.0,133.1,1006.0,12.0
1991,11,14,12,1,8.7,131.7,1002.0,15.0
1991,11,14,18,1,9.7,130.3,1002.0,15.0
1991,11,15,0,1,10.3,129.0,1000.0,15.0
1991,11,15,6,2,10.8,128.2,995.0,20.0
1991,11,15,12,2,11.3,127.1,995.0,20.0
1991,11,15,18,2,11.9,126.1,995.0,20.0
1991,11,16,0,2,12.8,125.2,995.0,20.0
1991,11,16,6,2,13.3,124.4,995.0,20.0
1991,11,16,12,2,13.8,123.1,995.0,20.0
1991,11,16,18,2,14.0,121.8,995.0,20.0
1991,11,17,0,3,14.0,121.2,990.0,25.0
1991,11,17,6,3,14.4,120.6,990.0,25.0
1991,11,17,12,3,14.8,120.1,990.0,25.0
1991,11,17,18,3,15.3,119.3,990.0,25.0
1991,11,18,0,3,16.0,118.8,990.0,25.0
1991,11,18,6,3,16.8,118.5,990.0,25.0
1991,11,18,12,3,17.3,118.1,990.0,25.0
1991,11,18,18,3,17.7,117.7,990.0,25.0
1991,11,19,0,2,17.8,117.2,995.0,20.0
1991,11,19,6,1,17.6,116.5,1000.0,15.0
1991,11,19,12,1,17.4,115.9,1000.0,15.0
1991,11,19,18,1,16.6,114.6,1002.0,12.0
1991,11,20,0,1,16.2,113.2,1002.0,12.0
