year,month,day,hour,power,lat,lng,PRES,WND
1992,10,17,0,1,10.6,159.9,1004.0,12.0
1992,10,17,6,1,10.3,158.4,1004.0,12.0
1992,10,17,12,1,10.1,156.9,1004.0,12.0
1992,10,17,18,1,10.3,155.6,1000.0,15.0
1992,10,18,0,1,10.7,154.6,1000.0,15.0
1992,10,18,6,2,11.2,153.6,995.0,20.0
1992,10,18,12,2,11.3,152.9,995.0,20.0
1992,10,18,18,2,11.5,152.1,990.0,20.0
1992,10,19,0,3,11.8,151.0,985.0,25.0
1992,10,19,6,3,11.9,150.1,985.0,25.0
1992,10,19,12,3,12.0,149.3,985.0,25.0
1992,10,19,18,3,12.0,148.6,980.0,30.0
1992,10,20,0,3,12.0,147.9,980.0,30.0
1992,10,20,6,3,12.1,147.0,980.0,30.0
1992,10,20,12,3,12.2,146.1,980.0,30.0
1992,10,20,18,3,12.3,145.8,980.0,30.0
1992,10,21,0,3,12.9,145.2,980.0,30.0
1992,10,21,6,3,13.8,144.4,980.0,30.0
1992,10,21,12,3,14.6,143.4,975.0,30.0
1992,10,21,18,4,15.4,142.9,970.0,35.0
1992,10,22,0,4,16.2,142.2,970.0,35.0
1992,10,22,6,4,17.2,141.8,970.0,35.0
1992,10,22,12,4,18.1,141.2,965.0,35.0
1992,10,22,18,4,19.0,140.4,960.0,40.0
1992,10,23,0,4,20.1,139.8,955.0,40.0
1992,10,23,6,4,21.3,139.6,955.0,40.0
1992,10,23,12,4,22.3,139.3,960.0,40.0
1992,10,23,18,4,23.2,139.0,965.0,35.0
1992,10,24,0,4,24.5,138.5,970.0,35.0
1992,10,24,6,3,26.2,138.0,980.0,30.0
1992,10,24,12,3,27.8,139.2,980.0,30.0
1992,10,24,18,3,29.8,141.5,985.0,25.0
1992,10,25,0,2,32.1,145.2,990.0,20.0
1992,10,25,6,2,34.0,149.5,995.0,20.0
