year,month,day,hour,power,lat,lng,PRES,WND
1992,2,3,12,2,9.0,181.4,990.0,20.0
1992,2,3,18,2,9.5,179.8,990.0,20.0
1992,2,4,0,2,9.3,178.2,990.0,20.0
1992,2,4,6,2,9.3,176.8,990.0,20.0
1992,2,4,12,2,9.2,174.7,990.0,20.0
1992,2,4,18,1,9.5,173.1,998.0,15.0
1992,2,5,0,1,9.8,171.3,998.0,15.0
1992,2,5,6,1,10.2,169.6,1000.0,15.0
1992,2,5,12,1,10.7,168.5,1004.0,15.0
1992,2,5,18,1,11.3,167.0,1004.0,15.0
1992,2,6,0,1,11.2,165.4,1004.0,15.0
1992,2,6,6,1,10.9,164.4,1006.0,15.0
1992,2,6,12,1,10.5,163.3,1006.0,15.0
1992,2,6,18,1,10.2,162.2,1006.0,15.0
1992,2,7,0,1,9.8,160.7,1006.0,15.0
1992,2,7,6,1,9.5,159.4,1008.0,12.0
1992,2,7,12,1,9.1,158.2,1008.0,12.0
1992,2,7,18,1,8.6,156.3,1008.0,12.0
1992,2,8,0,1,7.9,153.7,1008.0,12.0
1992,2,8,6,1,7.2,151.9,1008.0,12.0
1992,2,8,12,1,6.5,150.1,1008.0,12.0
