year,month,day,hour,power,lat,lng,PRES,WND
1992,11,15,6,1,12.5,159.3,1004.0,12.0
1992,11,15,12,1,13.2,158.5,1004.0,12.0
1992,11,15,18,1,13.4,157.8,1004.0,12.0
1992,11,16,0,1,13.2,157.0,1004.0,12.0
1992,11,16,6,1,13.0,156.0,1004.0,12.0
1992,11,16,12,1,12.8,154.3,1004.0,12.0
1992,11,16,18,1,12.7,153.0,1000.0,15.0
1992,11,17,0,2,12.6,151.4,995.0,20.0
1992,11,17,6,2,12.6,149.8,995.0,20.0
1992,11,17,12,2,12.6,148.2,995.0,20.0
1992,11,17,18,3,12.7,147.0,990.0,25.0
1992,11,18,0,3,13.0,145.7,980.0,30.0
1992,11,18,6,3,13.8,144.8,980.0,30.0
1992,11,18,12,3,14.3,144.1,980.0,30.0
1992,11,18,18,4,15.1,142.9,970.0,35.0
1992,11,19,0,4,15.5,142.2,960.0,40.0
1992,11,19,6,4,16.4,141.6,960.0,40.0
1992,11,19,12,4,17.2,140.6,960.0,40.0
1992,11,19,18,5,18.0,139.7,950.0,45.0
1992,11,20,0,5,18.9,139.4,950.0,45.0
1992,11,20,6,5,20.0,139.5,940.0,50.0
1992,11,20,12,5,21.5,140.2,940.0,50.0
1992,11,20,18,5,23.5,141.4,950.0,45.0
1992,11,21,0,4,25.5,143.2,960.0,40.0
1992,11,21,6,4,27.8,146.0,970.0,35.0
1992,11,21,12,4,30.3,150.9,970.0,35.0
1992,11,21,18,3,34.6,153.2,980.0,30.0
1992,11,22,0,9,39.0,159.0,980.0,30.0
1992,11,22,6,9,43.0,167.0,985.0,25.0
