year,month,day,hour,power,lat,lng,PRES,WND
1992,8,15,0,1,18.4,117.5,1000.0,12.0
1992,8,15,6,1,19.0,117.2,1000.0,12.0
1992,8,15,12,1,19.8,117.0,995.0,15.0
1992,8,15,18,1,20.8,116.7,995.0,15.0
1992,8,16,0,2,21.2,117.3,990.0,20.0
1992,8,16,6,2,21.0,117.8,990.0,20.0
1992,8,16,12,2,20.8,118.0,990.0,20.0
1992,8,16,18,2,20.8,118.0,990.0,20.0
1992,8,17,0,3,21.0,117.5,990.0,25.0
1992,8,17,6,3,21.5,117.5,985.0,25.0
1992,8,17,12,3,22.0,117.8,985.0,25.0
1992,8,17,18,3,22.5,118.0,985.0,25.0
1992,8,18,0,3,22.5,118.0,985.0,25.0
1992,8,18,6,3,23.0,118.1,985.0,25.0
1992,8,18,12,3,23.2,117.9,985.0,25.0
1992,8,18,18,2,23.3,117.7,990.0,20.0
1992,8,19,0,2,23.6,117.0,993.0,20.0
1992,8,19,6,1,23.3,116.0,998.0,12.0
