year,month,day,hour,power,lat,lng,PRES,WND
1993,11,6,12,1,12.2,149.0,1004.0,15.0
1993,11,6,18,1,12.5,148.0,1004.0,15.0
1993,11,7,0,1,13.0,146.7,1004.0,15.0
1993,11,7,6,1,13.5,144.7,1004.0,15.0
1993,11,7,12,1,13.6,143.9,1004.0,15.0
1993,11,7,18,1,13.6,142.9,1004.0,15.0
1993,11,8,0,1,14.1,142.0,1004.0,15.0
1993,11,8,6,1,14.3,140.9,1004.0,15.0
1993,11,8,12,1,14.9,139.6,1000.0,15.0
1993,11,8,18,1,15.8,138.0,1000.0,15.0
1993,11,9,0,2,17.5,136.9,995.0,20.0
1993,11,9,6,2,18.1,136.1,995.0,20.0
1993,11,9,12,2,18.6,135.9,995.0,20.0
1993,11,9,18,2,19.0,135.9,995.0,20.0
1993,11,10,0,2,19.5,135.8,995.0,20.0
1993,11,10,6,3,20.3,135.7,990.0,25.0
1993,11,10,12,3,21.5,135.8,990.0,25.0
1993,11,10,18,3,21.9,136.5,990.0,25.0
1993,11,11,0,3,22.0,137.1,990.0,25.0
1993,11,11,6,3,22.0,138.1,990.0,25.0
1993,11,11,12,3,22.1,139.1,990.0,25.0
1993,11,11,18,2,22.1,140.1,995.0,20.0
1993,11,12,0,2,22.2,140.9,995.0,20.0
1993,11,12,6,2,22.3,141.5,995.0,20.0
1993,11,12,12,1,22.5,142.0,1000.0,15.0
