year,month,day,hour,power,lat,lng,PRES,WND
1993,12,4,12,1,8.0,144.0,998.0,12.0
1993,12,4,18,1,8.2,142.7,998.0,12.0
1993,12,5,0,2,8.8,140.7,995.0,20.0
1993,12,5,6,3,9.4,139.0,990.0,25.0
1993,12,5,12,3,10.0,137.4,980.0,30.0
1993,12,5,18,3,10.6,135.6,980.0,30.0
1993,12,6,0,3,11.6,134.6,980.0,30.0
1993,12,6,6,3,12.5,133.6,980.0,30.0
1993,12,6,12,3,13.4,132.4,980.0,30.0
1993,12,6,18,3,14.0,131.3,980.0,30.0
1993,12,7,0,3,14.9,130.4,980.0,30.0
1993,12,7,6,3,15.6,130.0,980.0,30.0
1993,12,7,12,3,16.1,129.6,980.0,30.0
1993,12,7,18,3,16.6,129.6,980.0,30.0
1993,12,8,0,4,16.8,129.9,975.0,35.0
1993,12,8,6,4,16.3,130.1,975.0,35.0
1993,12,8,12,4,16.0,130.0,975.0,35.0
1993,12,8,18,4,15.4,129.4,975.0,35.0
1993,12,9,0,4,14.6,128.6,970.0,35.0
1993,12,9,6,4,14.0,127.6,965.0,40.0
1993,12,9,12,4,13.4,126.4,965.0,40.0
1993,12,9,18,4,12.9,125.0,965.0,40.0
1993,12,10,0,4,12.6,123.9,970.0,35.0
1993,12,10,6,4,12.5,123.0,975.0,35.0
1993,12,10,12,3,12.3,122.2,980.0,30.0
1993,12,10,18,3,12.1,121.4,985.0,25.0
1993,12,11,0,2,11.9,120.7,995.0,20.0
1993,12,11,6,2,11.6,119.6,995.0,20.0
1993,12,11,12,2,11.3,118.6,995.0,20.0
1993,12,11,18,2,11.0,117.8,995.0,20.0
1993,12,12,0,2,10.8,117.2,995.0,20.0
1993,12,12,6,2,10.8,116.6,995.0,20.0
1993,12,12,12,1,10.8,115.8,1000.0,15.0
1993,12,12,18,1,11.0,115.0,1000.0,15.0
1993,12,13,0,1,11.0,114.2,1000.0,15.0
1993,12,13,6,1,11.0,113.5,1000.0,15.0
1993,12,13,12,1,11.0,112.8,1000.0,15.0
1993,12,13,18,1,11.0,112.0,1000.0,15.0
1993,12,14,0,1,11.0,110.8,1000.0,15.0
1993,12,14,6,1,10.5,109.6,1002.0,12.0
1993,12,14,12,1,9.0,108.0,1002.0,12.0
1993,12,14,18,1,7.0,106.0,1002.0,12.0
