year,month,day,hour,power,lat,lng,PRES,WND
1993,8,14,0,0,10.0,141.0,1008.0,10.0
1993,8,14,6,0,9.5,139.0,1008.0,10.0
1993,8,14,12,0,9.0,136.5,1008.0,10.0
1993,8,14,18,0,9.0,134.0,1008.0,10.0
1993,8,15,0,0,9.5,132.5,1008.0,10.0
1993,8,15,6,1,10.5,131.2,1006.0,12.0
1993,8,15,12,1,12.5,130.0,1006.0,12.0
1993,8,15,18,1,13.7,129.2,1006.0,12.0
1993,8,16,0,1,15.0,128.5,1006.0,12.0
1993,8,16,6,1,15.5,127.8,1004.0,15.0
1993,8,16,12,1,16.1,127.0,1004.0,15.0
1993,8,16,18,1,16.7,126.2,1000.0,15.0
1993,8,17,0,1,17.4,125.4,998.0,15.0
1993,8,17,6,2,18.1,124.5,995.0,20.0
1993,8,17,12,2,18.5,123.7,995.0,20.0
1993,8,17,18,2,18.8,122.8,995.0,20.0
1993,8,18,0,3,19.1,121.8,990.0,25.0
1993,8,18,6,3,19.6,120.2,985.0,25.0
1993,8,18,12,3,19.8,118.9,985.0,25.0
1993,8,18,18,3,20.0,118.0,985.0,25.0
1993,8,19,0,3,19.7,116.9,985.0,25.0
1993,8,19,6,3,19.6,116.0,980.0,30.0
1993,8,19,12,3,19.5,114.9,980.0,30.0
1993,8,19,18,3,19.7,114.4,980.0,30.0
1993,8,20,0,3,20.0,114.0,980.0,30.0
1993,8,20,6,4,20.5,113.2,975.0,35.0
1993,8,20,12,4,20.9,112.6,970.0,35.0
1993,8,20,18,4,21.3,112.0,970.0,35.0
1993,8,21,0,4,21.8,111.0,970.0,35.0
1993,8,21,6,3,22.0,110.1,980.0,30.0
1993,8,21,12,3,22.7,109.2,985.0,25.0
1993,8,21,18,2,23.6,108.3,990.0,20.0
1993,8,22,0,2,24.0,107.6,995.0,20.0
1993,8,22,6,1,24.5,106.2,998.0,12.0
