year,month,day,hour,power,lat,lng,PRES,WND
1993,8,21,12,1,18.6,153.6,1005.0,15.0
1993,8,21,18,1,18.8,153.4,1002.0,15.0
1993,8,22,0,1,19.0,153.2,1000.0,15.0
1993,8,22,6,2,19.2,153.1,998.0,20.0
1993,8,22,12,2,19.6,152.9,995.0,20.0
1993,8,22,18,2,20.0,152.6,995.0,20.0
1993,8,23,0,2,20.6,152.1,995.0,20.0
1993,8,23,6,2,21.4,151.5,990.0,20.0
1993,8,23,12,3,22.4,150.7,985.0,25.0
1993,8,23,18,3,23.0,149.9,985.0,25.0
1993,8,24,0,3,23.6,149.3,980.0,30.0
1993,8,24,6,3,24.4,148.9,980.0,30.0
1993,8,24,12,3,25.1,148.2,980.0,30.0
1993,8,24,18,3,25.9,147.5,980.0,30.0
1993,8,25,0,3,26.9,146.5,980.0,30.0
1993,8,25,6,4,27.9,145.4,975.0,35.0
1993,8,25,12,4,28.7,143.8,970.0,35.0
1993,8,25,18,4,29.0,142.7,970.0,35.0
1993,8,26,0,4,29.7,141.7,970.0,35.0
1993,8,26,6,4,30.5,141.0,970.0,35.0
1993,8,26,12,4,31.4,140.8,970.0,35.0
1993,8,26,18,4,32.6,140.6,975.0,35.0
1993,8,27,0,4,33.9,140.6,975.0,35.0
1993,8,27,6,4,35.6,140.8,975.0,35.0
1993,8,27,12,3,37.1,141.5,980.0,30.0
1993,8,27,18,3,39.1,142.4,980.0,30.0
1993,8,28,0,3,41.9,143.8,985.0,25.0
1993,8,28,6,2,44.7,145.1,990.0,20.0
1993,8,28,12,9,46.5,146.0,990.0,15.0
1993,8,28,18,9,48.5,147.0,990.0,15.0
1993,8,29,0,9,50.0,147.5,992.0,12.0
