year,month,day,hour,power,lat,lng,PRES,WND
1993,8,22,6,1,12.0,125.0,1006.0,12.0
1993,8,22,12,1,11.6,123.9,1004.0,15.0
1993,8,22,18,1,11.7,122.5,1004.0,15.0
1993,8,23,0,1,11.8,121.0,1004.0,15.0
1993,8,23,6,1,11.9,120.0,1002.0,15.0
1993,8,23,12,2,12.0,119.3,998.0,20.0
1993,8,23,18,2,12.3,118.2,995.0,20.0
1993,8,24,0,2,12.8,117.5,992.0,20.0
1993,8,24,6,2,14.0,116.8,992.0,20.0
1993,8,24,12,2,15.0,116.4,992.0,20.0
1993,8,24,18,2,15.7,116.1,990.0,20.0
1993,8,25,0,2,16.2,115.9,990.0,20.0
1993,8,25,6,2,16.9,115.7,990.0,20.0
1993,8,25,12,2,17.3,115.7,990.0,20.0
1993,8,25,18,2,17.5,115.8,990.0,20.0
1993,8,26,0,2,17.6,115.8,990.0,20.0
1993,8,26,6,2,17.8,115.8,990.0,20.0
1993,8,26,12,2,18.0,115.7,990.0,20.0
1993,8,26,18,2,18.0,115.3,990.0,20.0
1993,8,27,0,2,17.8,114.8,990.0,20.0
1993,8,27,6,2,17.7,114.1,990.0,20.0
1993,8,27,12,2,17.5,113.5,990.0,20.0
1993,8,27,18,2,17.4,112.9,990.0,20.0
1993,8,28,0,2,17.2,112.0,995.0,20.0
1993,8,28,6,2,16.9,110.9,995.0,20.0
1993,8,28,12,2,16.7,109.4,995.0,20.0
1993,8,28,18,2,16.8,108.4,995.0,20.0
1993,8,29,0,2,17.2,107.5,995.0,20.0
1993,8,29,6,1,17.5,106.5,1000.0,15.0
1993,8,29,12,1,18.0,105.0,1004.0,12.0
