year,month,day,hour,power,lat,lng,PRES,WND
1993,8,29,0,1,19.5,138.0,1004.0,12.0
1993,8,29,6,1,19.5,136.5,1004.0,12.0
1993,8,29,12,1,19.6,135.5,1002.0,15.0
1993,8,29,18,1,19.8,134.7,1000.0,15.0
1993,8,30,0,2,20.3,134.2,998.0,20.0
1993,8,30,6,2,20.8,133.0,998.0,20.0
1993,8,30,12,2,20.7,131.8,996.0,20.0
1993,8,30,18,2,20.5,130.5,996.0,20.0
1993,8,31,0,2,20.6,129.2,992.0,20.0
1993,8,31,6,3,20.6,128.1,990.0,25.0
1993,8,31,12,3,20.7,127.2,985.0,25.0
1993,8,31,18,3,21.5,126.6,980.0,30.0
1993,9,1,0,4,22.0,126.1,970.0,35.0
1993,9,1,6,4,22.8,125.5,960.0,40.0
1993,9,1,12,5,23.4,125.3,955.0,45.0
1993,9,1,18,5,24.1,125.4,955.0,45.0
1993,9,2,0,5,25.0,125.7,945.0,50.0
1993,9,2,6,5,26.0,126.2,945.0,50.0
1993,9,2,12,6,27.0,127.0,935.0,55.0
1993,9,2,18,6,28.1,128.0,935.0,55.0
1993,9,3,0,6,29.5,129.1,935.0,55.0
1993,9,3,6,5,30.9,130.3,945.0,50.0
1993,9,3,12,4,32.8,131.8,960.0,40.0
1993,9,3,18,4,35.1,133.7,970.0,35.0
1993,9,4,0,3,37.2,135.8,980.0,25.0
1993,9,4,6,3,39.3,136.7,985.0,25.0
1993,9,4,12,9,41.0,137.3,990.0,20.0
1993,9,4,18,9,41.5,137.0,995.0,15.0
1993,9,5,0,9,42.0,136.5,1000.0,15.0
1993,9,5,6,9,42.0,136.0,1002.0,12.0
