year,month,day,hour,power,lat,lng,PRES,WND
1994,8,21,18,0,22.6,157.3,1006.0,10.0
1994,8,22,0,0,23.1,157.8,1006.0,10.0
1994,8,22,6,0,23.6,158.4,1006.0,10.0
1994,8,22,12,0,24.1,158.9,1006.0,10.0
1994,8,22,18,0,24.3,159.0,1006.0,10.0
1994,8,23,0,0,24.5,158.8,1006.0,10.0
1994,8,23,6,0,24.4,158.3,1006.0,10.0
1994,8,23,12,0,24.2,157.8,1006.0,10.0
1994,8,23,18,0,24.0,157.3,1006.0,10.0
1994,8,24,0,1,23.8,156.8,1004.0,12.0
1994,8,24,6,1,23.8,156.3,1002.0,15.0
1994,8,24,12,1,23.7,155.8,1002.0,15.0
1994,8,24,18,1,23.7,155.4,998.0,15.0
1994,8,25,0,2,23.7,155.0,995.0,20.0
1994,8,25,6,2,23.7,154.5,990.0,20.0
1994,8,25,12,3,23.8,153.8,990.0,25.0
1994,8,25,18,3,24.0,153.1,990.0,25.0
1994,8,26,0,3,24.2,152.3,985.0,25.0
1994,8,26,6,3,24.3,151.6,985.0,25.0
1994,8,26,12,3,24.1,151.0,985.0,25.0
1994,8,26,18,3,24.1,150.0,985.0,25.0
1994,8,27,0,3,24.1,149.0,985.0,25.0
1994,8,27,6,3,24.0,147.5,985.0,25.0
1994,8,27,12,3,23.9,146.7,985.0,25.0
1994,8,27,18,2,23.7,145.7,990.0,20.0
1994,8,28,0,2,23.5,145.0,990.0,20.0
1994,8,28,6,2,23.0,144.1,995.0,20.0
1994,8,28,12,2,22.2,143.1,995.0,20.0
1994,8,28,18,1,21.9,142.1,998.0,15.0
1994,8,29,0,1,21.6,140.7,998.0,15.0
1994,8,29,6,1,21.6,139.3,998.0,15.0
1994,8,29,12,1,21.6,138.1,998.0,15.0
1994,8,29,18,1,21.7,136.5,998.0,15.0
1994,8,30,0,2,21.8,134.8,995.0,20.0
1994,8,30,6,2,22.0,133.1,995.0,20.0
1994,8,30,12,3,22.1,131.6,990.0,25.0
1994,8,30,18,3,22.2,130.1,985.0,25.0
1994,8,31,0,3,22.3,128.1,980.0,30.0
1994,8,31,6,4,22.7,126.5,965.0,40.0
1994,8,31,12,5,23.0,125.0,955.0,45.0
1994,8,31,18,5,23.5,123.7,950.0,45.0
1994,9,1,0,5,24.0,122.5,955.0,45.0
1994,9,1,6,4,24.7,121.0,960.0,40.0
1994,9,1,12,4,25.3,119.7,970.0,35.0
1994,9,1,18,2,26.3,118.5,995.0,20.0
1994,9,2,0,1,28.0,117.2,1000.0,15.0
1994,9,2,6,1,29.0,116.5,1005.0,12.0
1994,9,2,12,1,30.0,116.2,1005.0,12.0
1994,9,2,18,0,32.0,116.2,1007.0,10.0
1994,9,3,0,0,33.0,116.5,1007.0,10.0
1994,9,3,6,0,33.5,116.7,1005.0,10.0
1994,9,3,12,0,34.5,116.9,1005.0,10.0
