year,month,day,hour,power,lat,lng,PRES,WND
1994,8,24,12,1,15.5,120.3,1004.0,12.0
1994,8,24,18,1,15.5,120.3,1004.0,12.0
1994,8,25,0,1,16.5,120.0,1004.0,12.0
1994,8,25,6,1,17.5,119.4,1000.0,15.0
1994,8,25,12,2,18.0,118.4,1000.0,20.0
1994,8,25,18,2,18.2,117.1,995.0,20.0
1994,8,26,0,2,18.5,116.0,990.0,20.0
1994,8,26,6,3,19.1,115.0,990.0,25.0
1994,8,26,12,3,19.6,114.0,990.0,25.0
1994,8,26,18,3,20.0,113.2,985.0,25.0
1994,8,27,0,3,20.1,112.2,985.0,25.0
1994,8,27,6,3,20.4,111.5,985.0,25.0
1994,8,27,12,3,20.4,110.7,980.0,30.0
1994,8,27,18,3,20.4,110.0,980.0,30.0
1994,8,28,0,3,20.4,109.4,980.0,30.0
1994,8,28,6,4,20.6,108.6,975.0,35.0
1994,8,28,12,3,21.0,107.8,985.0,30.0
1994,8,28,18,3,21.1,106.4,985.0,25.0
1994,8,29,0,2,21.2,104.8,995.0,20.0
1994,8,29,6,1,21.5,102.5,1000.0,15.0
