year,month,day,hour,power,lat,lng,PRES,WND
1994,9,2,12,1,15.5,116.0,1004.0,12.0
1994,9,2,18,1,15.5,115.4,1002.0,15.0
1994,9,3,0,1,15.7,114.7,1000.0,15.0
1994,9,3,6,2,16.0,114.0,995.0,20.0
1994,9,3,12,2,16.0,114.0,995.0,20.0
1994,9,3,18,2,16.2,112.8,995.0,20.0
1994,9,4,0,2,16.7,111.7,995.0,20.0
1994,9,4,6,2,16.9,111.0,995.0,20.0
1994,9,4,12,2,17.0,110.2,995.0,20.0
1994,9,4,18,2,17.0,110.2,995.0,20.0
1994,9,5,0,2,16.5,109.5,995.0,20.0
1994,9,5,6,2,16.3,109.1,995.0,20.0
1994,9,5,12,2,16.5,108.8,995.0,20.0
1994,9,5,18,2,16.7,109.1,990.0,20.0
1994,9,6,0,2,17.3,109.5,990.0,20.0
1994,9,6,6,2,18.5,109.4,985.0,20.0
1994,9,6,12,2,19.2,108.3,985.0,20.0
1994,9,6,18,2,19.6,107.8,985.0,20.0
1994,9,7,0,2,19.8,107.6,985.0,20.0
1994,9,7,6,3,20.5,107.3,980.0,25.0
1994,9,7,12,2,21.2,106.8,985.0,20.0
1994,9,7,18,2,21.6,105.9,990.0,20.0
1994,9,8,0,1,20.8,104.5,1002.0,15.0
