year,month,day,hour,power,lat,lng,PRES,WND
1994,9,5,6,1,20.0,140.0,1004.0,12.0
1994,9,5,12,1,21.5,140.5,1000.0,15.0
1994,9,5,18,1,22.3,140.8,1000.0,15.0
1994,9,6,0,2,23.1,140.9,996.0,20.0
1994,9,6,6,2,24.0,140.9,996.0,20.0
1994,9,6,12,2,24.2,140.8,995.0,20.0
1994,9,6,18,2,24.6,140.6,995.0,20.0
1994,9,7,0,3,24.9,140.4,992.0,25.0
1994,9,7,6,3,25.2,140.2,992.0,25.0
1994,9,7,12,3,25.4,140.0,992.0,25.0
1994,9,7,18,3,25.6,139.9,992.0,25.0
1994,9,8,0,3,26.1,139.8,990.0,25.0
1994,9,8,6,3,27.0,139.5,990.0,25.0
1994,9,8,12,3,27.5,139.6,990.0,25.0
1994,9,8,18,3,27.9,139.6,985.0,25.0
1994,9,9,0,3,28.2,139.8,980.0,30.0
1994,9,9,6,4,28.5,139.9,975.0,35.0
1994,9,9,12,4,28.8,140.0,970.0,35.0
1994,9,9,18,4,29.4,139.8,970.0,35.0
1994,9,10,0,4,30.0,139.5,965.0,40.0
1994,9,10,6,4,30.5,139.2,960.0,40.0
1994,9,10,12,4,31.1,139.3,960.0,40.0
1994,9,10,18,4,31.8,139.8,960.0,40.0
1994,9,11,0,4,32.7,141.0,965.0,40.0
1994,9,11,6,4,33.9,142.3,970.0,35.0
1994,9,11,12,4,35.2,144.0,975.0,35.0
1994,9,11,18,3,37.2,146.2,980.0,30.0
1994,9,12,0,3,39.3,148.3,985.0,25.0
1994,9,12,6,9,42.5,151.5,992.0,20.0
1994,9,12,12,9,46.0,155.0,1000.0,15.0
1994,9,12,18,9,48.0,157.0,1000.0,15.0
