year,month,day,hour,power,lat,lng,PRES,WND
1994,9,11,12,1,10.0,159.5,1000.0,15.0
1994,9,11,18,1,10.5,158.6,1000.0,15.0
1994,9,12,0,2,11.2,157.6,995.0,20.0
1994,9,12,6,2,11.5,157.0,995.0,20.0
1994,9,12,12,3,12.0,156.7,990.0,25.0
1994,9,12,18,3,12.7,156.9,990.0,25.0
1994,9,13,0,3,13.2,157.3,990.0,25.0
1994,9,13,6,3,13.4,157.8,985.0,25.0
1994,9,13,12,3,13.8,158.3,985.0,25.0
1994,9,13,18,3,14.4,158.6,980.0,30.0
1994,9,14,0,4,15.0,158.8,970.0,35.0
1994,9,14,6,4,15.4,159.1,960.0,40.0
1994,9,14,12,4,16.0,159.5,955.0,40.0
1994,9,14,18,5,16.9,159.9,945.0,45.0
1994,9,15,0,5,18.0,159.7,940.0,45.0
1994,9,15,6,5,19.0,159.6,930.0,50.0
1994,9,15,12,6,20.2,159.6,925.0,55.0
1994,9,15,18,6,21.5,159.1,920.0,60.0
1994,9,16,0,6,22.8,158.4,920.0,60.0
1994,9,16,6,6,24.2,157.7,920.0,60.0
1994,9,16,12,5,25.4,156.9,925.0,50.0
1994,9,16,18,5,27.0,156.1,930.0,50.0
1994,9,17,0,5,28.7,155.2,945.0,45.0
1994,9,17,6,4,30.2,154.0,955.0,40.0
1994,9,17,12,4,31.8,152.6,970.0,35.0
1994,9,17,18,4,33.2,152.0,975.0,35.0
1994,9,18,0,3,35.0,150.1,980.0,30.0
1994,9,18,6,3,36.5,149.3,980.0,30.0
1994,9,18,12,3,38.1,149.2,980.0,30.0
1994,9,18,18,3,39.3,148.7,980.0,30.0
1994,9,19,0,3,40.3,148.5,980.0,30.0
1994,9,19,6,3,41.4,148.6,985.0,25.0
1994,9,19,12,3,42.1,149.3,985.0,25.0
