year,month,day,hour,power,lat,lng,PRES,WND
1994,10,2,12,1,12.0,160.0,1006.0,12.0
1994,10,2,18,1,11.8,157.5,1004.0,12.0
1994,10,3,0,1,11.5,155.1,1002.0,15.0
1994,10,3,6,2,11.0,153.7,998.0,20.0
1994,10,3,12,2,10.4,152.5,998.0,20.0
1994,10,3,18,2,10.8,151.2,995.0,20.0
1994,10,4,0,2,11.3,149.3,995.0,20.0
1994,10,4,6,3,11.4,147.8,990.0,25.0
1994,10,4,12,3,11.5,145.9,990.0,25.0
1994,10,4,18,3,11.6,144.3,985.0,25.0
1994,10,5,0,3,11.9,143.0,985.0,25.0
1994,10,5,6,3,12.5,141.1,985.0,25.0
1994,10,5,12,3,13.0,139.6,980.0,25.0
1994,10,5,18,3,13.4,137.4,980.0,30.0
1994,10,6,0,3,13.7,135.9,975.0,30.0
1994,10,6,6,4,14.3,134.6,970.0,35.0
1994,10,6,12,4,15.0,133.3,970.0,35.0
1994,10,6,18,4,15.7,131.3,960.0,40.0
1994,10,7,0,4,16.1,129.9,955.0,40.0
1994,10,7,6,5,17.1,128.5,950.0,45.0
1994,10,7,12,5,17.6,127.3,940.0,50.0
1994,10,7,18,6,18.3,126.4,930.0,55.0
1994,10,8,0,6,19.1,125.7,925.0,55.0
1994,10,8,6,6,19.9,125.0,925.0,55.0
1994,10,8,12,5,20.7,124.5,935.0,50.0
1994,10,8,18,5,21.3,124.2,935.0,50.0
1994,10,9,0,5,21.9,123.9,935.0,50.0
1994,10,9,6,5,23.0,123.8,935.0,50.0
1994,10,9,12,5,24.2,123.6,945.0,45.0
1994,10,9,18,5,25.2,123.2,945.0,45.0
1994,10,10,0,4,25.7,122.4,950.0,40.0
1994,10,10,6,4,26.5,122.6,960.0,40.0
1994,10,10,12,4,27.4,122.9,970.0,35.0
1994,10,10,18,3,28.4,123.3,975.0,30.0
1994,10,11,0,3,29.5,123.8,980.0,30.0
1994,10,11,6,3,30.6,124.1,980.0,30.0
1994,10,11,12,3,32.0,125.0,980.0,30.0
1994,10,11,18,3,33.9,126.7,980.0,25.0
1994,10,12,0,3,36.6,129.2,985.0,25.0
1994,10,12,6,9,39.3,131.7,985.0,25.0
1994,10,12,12,9,42.0,134.0,985.0,20.0
1994,10,12,18,9,45.2,137.5,985.0,20.0
1994,10,13,0,9,46.0,140.0,985.0,20.0
1994,10,13,6,9,47.0,142.0,985.0,15.0
1994,10,13,12,9,48.3,144.9,990.0,15.0
1994,10,13,18,9,49.0,148.0,998.0,10.0
