year,month,day,hour,power,lat,lng,PRES,WND
1994,10,16,0,1,11.1,165.0,1006.0,12.0
1994,10,16,6,1,11.0,163.0,1006.0,12.0
1994,10,16,12,1,10.9,161.0,1004.0,15.0
1994,10,16,18,1,11.4,158.7,1004.0,15.0
1994,10,17,0,1,12.3,156.7,1004.0,15.0
1994,10,17,6,1,13.5,154.1,1002.0,15.0
1994,10,17,12,1,13.7,153.5,1002.0,15.0
1994,10,17,18,1,13.8,152.2,1002.0,15.0
1994,10,18,0,1,14.0,150.8,998.0,15.0
1994,10,18,6,2,14.3,149.2,995.0,20.0
1994,10,18,12,2,14.5,147.5,995.0,20.0
1994,10,18,18,2,14.3,146.0,990.0,20.0
1994,10,19,0,3,14.3,144.7,985.0,25.0
1994,10,19,6,3,14.5,143.7,985.0,25.0
1994,10,19,12,3,15.0,142.2,980.0,25.0
1994,10,19,18,3,15.3,140.3,980.0,30.0
1994,10,20,0,3,15.4,139.0,975.0,30.0
1994,10,20,6,4,15.8,137.3,970.0,35.0
1994,10,20,12,4,16.4,136.2,970.0,35.0
1994,10,20,18,4,16.7,134.6,960.0,40.0
1994,10,21,0,4,16.9,134.0,960.0,40.0
1994,10,21,6,4,17.3,132.7,960.0,40.0
1994,10,21,12,4,17.7,132.0,960.0,40.0
1994,10,21,18,4,18.0,131.9,960.0,40.0
1994,10,22,0,4,18.3,131.6,960.0,40.0
1994,10,22,6,4,18.3,131.6,960.0,40.0
1994,10,22,12,4,18.5,131.2,960.0,40.0
1994,10,22,18,4,18.6,130.8,955.0,40.0
1994,10,23,0,5,18.7,130.5,950.0,45.0
1994,10,23,6,5,18.7,130.2,950.0,45.0
1994,10,23,12,5,18.4,130.1,950.0,45.0
1994,10,23,18,5,18.4,130.1,950.0,45.0
1994,10,24,0,5,18.1,129.9,950.0,45.0
1994,10,24,6,5,17.7,129.7,950.0,45.0
1994,10,24,12,5,17.2,129.7,950.0,45.0
1994,10,24,18,5,16.7,129.5,950.0,45.0
1994,10,25,0,5,16.4,129.5,950.0,45.0
1994,10,25,6,5,16.1,129.6,950.0,45.0
1994,10,25,12,5,15.8,129.5,950.0,45.0
1994,10,25,18,5,15.7,129.2,950.0,45.0
1994,10,26,0,5,15.4,129.2,950.0,45.0
1994,10,26,6,4,15.2,129.0,955.0,40.0
1994,10,26,12,4,15.2,128.8,960.0,40.0
1994,10,26,18,4,15.2,128.4,970.0,35.0
1994,10,27,0,4,15.4,129.2,970.0,35.0
1994,10,27,6,4,15.9,129.3,970.0,35.0
1994,10,27,12,3,16.4,129.9,975.0,30.0
1994,10,27,18,3,16.7,130.4,975.0,30.0
1994,10,28,0,3,17.5,130.8,980.0,30.0
1994,10,28,6,3,18.1,131.0,985.0,25.0
1994,10,28,12,3,18.9,131.0,985.0,25.0
1994,10,28,18,3,19.4,131.0,990.0,25.0
1994,10,29,0,3,19.7,131.2,990.0,25.0
1994,10,29,6,3,20.4,131.8,990.0,25.0
1994,10,29,12,3,21.1,132.3,990.0,25.0
1994,10,29,18,3,22.0,133.0,990.0,25.0
1994,10,30,0,3,23.0,134.4,990.0,25.0
1994,10,30,6,3,23.9,135.2,990.0,25.0
1994,10,30,12,3,24.5,135.9,990.0,25.0
1994,10,30,18,2,25.1,136.7,995.0,20.0
1994,10,31,0,2,25.6,137.7,995.0,20.0
1994,10,31,6,2,26.2,139.2,995.0,20.0
1994,10,31,12,2,26.9,140.5,995.0,20.0
1994,10,31,18,2,27.3,141.7,995.0,20.0
1994,11,1,0,1,27.7,142.7,998.0,15.0
1994,11,1,6,1,28.3,144.2,1000.0,15.0
1994,11,1,12,1,28.8,144.8,1000.0,15.0
1994,11,1,18,1,29.3,145.4,1004.0,12.0
