year,month,day,hour,power,lat,lng,PRES,WND
1995,4,27,18,1,5.2,166.2,1006.0,12.0
1995,4,28,0,1,5.5,166.3,1004.0,15.0
1995,4,28,6,1,6.5,166.5,1004.0,15.0
1995,4,28,12,1,7.0,166.5,1002.0,15.0
1995,4,28,18,1,7.3,166.2,1002.0,15.0
1995,4,29,0,2,7.4,165.5,998.0,18.0
1995,4,29,6,2,7.3,164.5,998.0,18.0
1995,4,29,12,2,7.1,163.7,998.0,18.0
1995,4,29,18,2,6.9,163.1,998.0,18.0
1995,4,30,0,2,6.7,162.7,998.0,18.0
1995,4,30,6,2,6.6,162.6,998.0,18.0
1995,4,30,12,2,6.4,162.3,998.0,18.0
1995,4,30,18,2,5.9,161.9,998.0,18.0
1995,5,1,0,1,5.4,161.6,1002.0,15.0
1995,5,1,6,1,5.9,161.9,1002.0,15.0
1995,5,1,12,1,6.8,161.7,1004.0,12.0
1995,5,1,18,1,7.8,161.3,1004.0,12.0
1995,5,2,0,1,8.8,160.8,1004.0,12.0
1995,5,2,6,1,9.6,160.1,1004.0,12.0
1995,5,2,12,0,10.3,159.2,1006.0,10.0
1995,5,2,18,0,11.0,158.2,1006.0,10.0
1995,5,3,0,0,11.5,157.7,1006.0,10.0
1995,5,3,6,0,11.8,157.1,1006.0,10.0
1995,5,3,12,0,12.0,156.5,1006.0,10.0
1995,5,3,18,0,12.2,155.9,1006.0,10.0
1995,5,4,0,0,12.3,155.2,1008.0,10.0
