year,month,day,hour,power,lat,lng,PRES,WND
1995,12,26,12,1,10.1,130.5,1000.0,15.0
1995,12,26,18,1,10.3,130.3,1000.0,15.0
1995,12,27,0,1,10.2,130.0,1000.0,15.0
1995,12,27,6,2,10.0,129.6,998.0,18.0
1995,12,27,12,2,9.8,129.0,995.0,20.0
1995,12,27,18,2,9.8,128.0,995.0,20.0
1995,12,28,0,2,10.2,127.5,990.0,20.0
1995,12,28,6,3,10.7,127.7,985.0,25.0
1995,12,28,12,3,11.2,127.9,985.0,25.0
1995,12,28,18,3,11.6,128.2,985.0,25.0
1995,12,29,0,3,12.1,128.5,980.0,30.0
1995,12,29,6,3,12.7,128.8,980.0,30.0
1995,12,29,12,3,13.5,129.2,980.0,30.0
1995,12,29,18,3,14.7,129.9,980.0,30.0
1995,12,30,0,3,15.8,131.0,980.0,30.0
1995,12,30,6,3,17.3,132.2,980.0,30.0
1995,12,30,12,3,18.6,134.5,985.0,25.0
1995,12,30,18,3,19.8,137.4,985.0,25.0
1995,12,31,0,2,20.9,141.0,990.0,20.0
1995,12,31,6,1,22.0,144.0,1000.0,15.0
1995,12,31,12,1,23.0,147.0,1002.0,15.0
