year,month,day,hour,power,lat,lng,PRES,WND
1995,6,1,0,1,10.2,129.5,1004.0,12.0
1995,6,1,6,1,10.8,128.4,1002.0,15.0
1995,6,1,12,1,11.2,127.6,1002.0,15.0
1995,6,1,18,1,11.5,126.4,1002.0,15.0
1995,6,2,0,1,12.0,125.0,1002.0,15.0
1995,6,2,6,1,12.9,123.1,1002.0,15.0
1995,6,2,12,1,13.1,122.3,1000.0,15.0
1995,6,2,18,1,13.6,121.2,1000.0,15.0
1995,6,3,0,2,14.0,120.6,998.0,18.0
1995,6,3,6,2,14.5,119.5,998.0,18.0
1995,6,3,12,2,15.0,119.0,995.0,20.0
1995,6,3,18,2,15.7,118.8,995.0,20.0
1995,6,4,0,2,16.3,118.4,995.0,20.0
1995,6,4,6,2,17.3,118.3,995.0,20.0
1995,6,4,12,2,17.9,119.0,995.0,20.0
1995,6,4,18,2,18.6,119.1,995.0,20.0
1995,6,5,0,2,19.1,119.1,995.0,20.0
1995,6,5,6,2,19.2,119.0,995.0,20.0
1995,6,5,12,2,19.2,119.0,995.0,20.0
1995,6,5,18,2,19.1,118.9,990.0,23.0
1995,6,6,0,2,19.0,118.7,990.0,23.0
1995,6,6,6,2,18.9,118.6,990.0,23.0
1995,6,6,12,2,18.8,118.3,990.0,23.0
1995,6,6,18,2,18.9,118.1,990.0,23.0
1995,6,7,0,2,19.1,117.9,990.0,23.0
1995,6,7,6,2,19.6,117.7,990.0,23.0
1995,6,7,12,2,19.8,117.8,990.0,23.0
1995,6,7,18,2,20.9,118.2,995.0,20.0
1995,6,8,0,2,21.9,118.9,998.0,18.0
1995,6,8,6,1,22.9,119.5,998.0,15.0
1995,6,8,12,1,24.0,121.5,998.0,15.0
1995,6,8,18,9,25.5,123.5,996.0,15.0
1995,6,9,0,9,26.5,125.5,996.0,15.0
1995,6,9,6,9,28.5,128.5,996.0,15.0
1995,6,9,12,9,29.5,131.5,996.0,15.0
