year,month,day,hour,power,lat,lng,PRES,WND
1995,9,15,0,1,15.0,116.0,1000.0,12.0
1995,9,15,6,1,15.0,116.0,998.0,15.0
1995,9,15,12,2,15.0,116.0,995.0,18.0
1995,9,15,18,2,15.0,116.0,995.0,18.0
1995,9,16,0,2,14.8,115.5,995.0,18.0
1995,9,16,6,2,14.6,115.1,995.0,18.0
1995,9,16,12,2,14.5,114.6,992.0,20.0
1995,9,16,18,2,14.2,114.2,990.0,23.0
1995,9,17,0,2,14.1,114.8,990.0,23.0
1995,9,17,6,2,14.5,114.6,990.0,23.0
1995,9,17,12,2,14.7,114.6,990.0,23.0
1995,9,17,18,3,14.8,114.4,985.0,25.0
1995,9,18,0,3,14.7,114.0,985.0,25.0
1995,9,18,6,3,14.6,113.7,980.0,30.0
1995,9,18,12,3,14.7,113.2,980.0,30.0
1995,9,18,18,3,14.8,112.8,980.0,30.0
1995,9,19,0,3,15.0,112.6,980.0,30.0
1995,9,19,6,3,15.5,112.5,980.0,30.0
1995,9,19,12,4,16.2,112.4,970.0,35.0
1995,9,19,18,4,16.8,112.4,970.0,35.0
1995,9,20,0,4,17.5,112.6,960.0,40.0
1995,9,20,6,5,17.9,113.0,950.0,45.0
1995,9,20,12,5,18.3,113.8,950.0,45.0
1995,9,20,18,5,18.7,115.0,950.0,45.0
1995,9,21,0,5,19.1,116.2,950.0,45.0
1995,9,21,6,5,19.8,117.5,950.0,45.0
1995,9,21,12,5,20.4,118.6,950.0,45.0
1995,9,21,18,5,20.8,119.7,950.0,45.0
1995,9,22,0,5,21.4,120.9,950.0,45.0
1995,9,22,6,5,22.4,122.3,950.0,45.0
1995,9,22,12,5,23.6,123.5,950.0,45.0
1995,9,22,18,4,24.9,124.7,960.0,40.0
1995,9,23,0,4,26.6,125.9,965.0,40.0
1995,9,23,6,4,28.4,127.5,970.0,35.0
1995,9,23,12,4,30.5,128.9,975.0,35.0
1995,9,23,18,3,33.3,131.4,980.0,30.0
1995,9,24,0,3,36.9,134.2,985.0,25.0
1995,9,24,6,2,39.8,138.0,995.0,20.0
