year,month,day,hour,power,lat,lng,PRES,WND
1995,9,27,0,0,7.7,136.7,1006.0,10.0
1995,9,27,6,1,7.8,135.0,1004.0,12.0
1995,9,27,12,1,8.0,133.5,1004.0,12.0
1995,9,27,18,1,8.2,132.3,1002.0,15.0
1995,9,28,0,1,8.5,131.0,1002.0,15.0
1995,9,28,6,1,9.3,130.2,1000.0,15.0
1995,9,28,12,2,9.9,129.4,998.0,18.0
1995,9,28,18,2,10.3,128.5,995.0,20.0
1995,9,29,0,2,10.7,127.3,990.0,23.0
1995,9,29,6,2,11.3,126.4,990.0,23.0
1995,9,29,12,2,11.7,125.4,990.0,23.0
1995,9,29,18,2,12.5,124.1,990.0,23.0
1995,9,30,0,3,12.9,123.3,985.0,25.0
1995,9,30,6,3,13.2,122.0,985.0,25.0
1995,9,30,12,3,13.5,121.6,980.0,30.0
1995,9,30,18,3,14.6,121.1,980.0,30.0
1995,10,1,0,3,15.7,119.9,980.0,30.0
1995,10,1,6,3,16.3,118.4,980.0,30.0
1995,10,1,12,3,16.8,117.1,980.0,30.0
1995,10,1,18,3,17.2,115.7,980.0,30.0
1995,10,2,0,3,17.7,114.8,980.0,30.0
1995,10,2,6,4,18.6,114.1,975.0,33.0
1995,10,2,12,4,19.2,113.1,975.0,33.0
1995,10,2,18,4,20.0,112.4,975.0,33.0
1995,10,3,0,4,20.8,111.7,975.0,33.0
1995,10,3,6,3,22.0,111.0,980.0,30.0
1995,10,3,12,2,22.8,110.7,998.0,18.0
1995,10,3,18,1,23.4,111.0,1000.0,12.0
1995,10,4,0,0,24.0,111.5,1004.0,10.0
