year,month,day,hour,power,lat,lng,PRES,WND
1996,10,11,12,1,15.5,121.0,1002.0,12.0
1996,10,11,18,1,15.5,120.5,1000.0,15.0
1996,10,12,0,1,16.2,119.8,1000.0,15.0
1996,10,12,6,1,18.3,119.6,1000.0,15.0
1996,10,12,12,1,18.0,118.8,1000.0,15.0
1996,10,12,18,1,19.5,118.5,1000.0,15.0
1996,10,13,0,1,19.5,117.6,1000.0,15.0
1996,10,13,6,1,19.8,117.2,1000.0,15.0
1996,10,13,12,1,20.0,117.0,1000.0,15.0
1996,10,13,18,1,19.9,116.2,1000.0,15.0
1996,10,14,0,1,19.7,115.2,1000.0,15.0
1996,10,14,6,1,19.5,114.3,1000.0,15.0
1996,10,14,12,1,19.1,113.6,1000.0,15.0
1996,10,14,18,1,18.5,112.8,1000.0,15.0
1996,10,15,0,1,17.2,112.7,1000.0,15.0
1996,10,15,6,1,16.4,112.3,1000.0,15.0
1996,10,15,12,1,16.0,112.0,1004.0,12.0
