year,month,day,hour,power,lat,lng,PRES,WND
1996,5,18,6,1,14.2,114.0,1002.0,15.0
1996,5,18,12,1,14.6,114.4,1002.0,15.0
1996,5,18,18,1,14.9,114.5,1002.0,15.0
1996,5,19,0,1,15.1,114.5,1000.0,15.0
1996,5,19,6,1,15.3,114.6,1000.0,15.0
1996,5,19,12,1,15.7,114.6,1000.0,15.0
1996,5,19,18,1,16.0,114.7,1000.0,15.0
1996,5,20,0,2,16.5,115.0,998.0,18.0
1996,5,20,6,2,17.2,115.2,998.0,18.0
1996,5,20,12,2,17.8,115.9,995.0,20.0
1996,5,20,18,2,18.2,116.5,995.0,20.0
1996,5,21,0,2,18.5,117.2,995.0,20.0
1996,5,21,6,2,18.8,118.0,995.0,20.0
1996,5,21,12,2,19.2,118.8,990.0,23.0
1996,5,21,18,2,19.5,119.5,990.0,23.0
1996,5,22,0,2,19.8,120.3,990.0,23.0
1996,5,22,6,2,20.0,121.0,990.0,23.0
1996,5,22,12,2,20.2,121.4,990.0,23.0
1996,5,22,18,3,20.5,122.0,990.0,25.0
1996,5,23,0,3,20.9,122.5,990.0,25.0
1996,5,23,6,2,21.5,123.6,990.0,23.0
1996,5,23,12,2,22.1,124.6,990.0,23.0
1996,5,23,18,1,23.0,126.9,1000.0,15.0
1996,5,24,0,1,23.8,128.2,1004.0,15.0
1996,5,24,6,1,24.5,130.4,1004.0,15.0
1996,5,24,12,1,25.0,132.0,1006.0,15.0
1996,5,24,18,1,25.5,133.5,1006.0,12.0
1996,5,25,0,1,26.0,135.0,1008.0,12.0
1996,5,25,6,1,26.0,136.0,1008.0,12.0
