year,month,day,hour,power,lat,lng,PRES,WND
1996,7,30,6,0,25.8,154.2,1008.0,10.0
1996,7,30,12,0,26.0,154.0,1008.0,10.0
1996,7,30,18,1,26.5,153.9,1008.0,12.0
1996,7,31,0,1,27.0,154.0,1008.0,12.0
1996,7,31,6,1,27.5,154.0,1006.0,12.0
1996,7,31,12,1,28.0,153.6,1004.0,15.0
1996,7,31,18,1,28.5,153.0,1002.0,15.0
1996,8,1,0,2,28.9,152.4,998.0,18.0
1996,8,1,6,2,29.5,152.1,995.0,20.0
1996,8,1,12,2,30.1,151.9,995.0,20.0
1996,8,1,18,2,30.5,151.7,995.0,20.0
1996,8,2,0,2,31.1,151.9,995.0,20.0
1996,8,2,6,3,31.8,152.3,990.0,25.0
1996,8,2,12,3,32.0,153.0,985.0,25.0
1996,8,2,18,3,32.2,153.8,985.0,25.0
1996,8,3,0,3,32.2,154.4,985.0,25.0
1996,8,3,6,3,32.5,155.1,985.0,25.0
1996,8,3,12,2,32.5,155.6,990.0,23.0
1996,8,3,18,2,32.6,155.6,990.0,23.0
1996,8,4,0,2,32.9,155.3,995.0,20.0
1996,8,4,6,2,33.2,155.0,998.0,18.0
1996,8,4,12,1,33.7,154.8,1000.0,15.0
1996,8,4,18,1,34.5,154.9,1000.0,15.0
1996,8,5,0,1,35.0,155.2,1000.0,12.0
1996,8,5,6,1,36.0,156.0,1000.0,12.0
