year,month,day,hour,power,lat,lng,PRES,WND
1996,8,4,0,1,23.0,131.0,1004.0,12.0
1996,8,4,6,1,24.2,131.3,1002.0,12.0
1996,8,4,12,1,25.0,131.0,1002.0,12.0
1996,8,4,18,1,26.0,130.9,1000.0,15.0
1996,8,5,0,1,26.8,130.6,998.0,15.0
1996,8,5,6,1,27.2,130.4,998.0,15.0
1996,8,5,12,1,27.4,130.4,998.0,15.0
1996,8,5,18,1,27.6,130.7,998.0,15.0
1996,8,6,0,2,27.5,131.1,995.0,18.0
1996,8,6,6,2,27.3,131.6,990.0,23.0
1996,8,6,12,2,27.0,132.1,990.0,23.0
1996,8,6,18,2,26.5,132.6,990.0,23.0
1996,8,7,0,2,26.0,133.0,990.0,23.0
1996,8,7,6,2,25.6,133.5,990.0,23.0
1996,8,7,12,2,25.4,133.7,990.0,23.0
1996,8,7,18,3,25.2,133.9,985.0,25.0
1996,8,8,0,3,25.0,134.0,985.0,25.0
1996,8,8,6,3,24.9,133.8,985.0,25.0
1996,8,8,12,3,24.9,133.8,985.0,25.0
1996,8,8,18,3,25.0,133.5,985.0,25.0
1996,8,9,0,3,25.2,133.0,980.0,30.0
1996,8,9,6,4,25.4,132.3,975.0,33.0
1996,8,9,12,4,25.1,131.4,975.0,33.0
1996,8,9,18,4,24.7,131.0,975.0,33.0
1996,8,10,0,4,24.5,130.8,975.0,33.0
1996,8,10,6,4,24.4,130.7,970.0,35.0
1996,8,10,12,4,24.2,130.5,970.0,35.0
1996,8,10,18,4,24.0,130.3,970.0,35.0
1996,8,11,0,4,24.3,130.2,965.0,40.0
1996,8,11,6,4,24.8,130.3,965.0,40.0
1996,8,11,12,4,25.2,129.7,965.0,40.0
1996,8,11,18,4,25.5,129.0,960.0,40.0
1996,8,12,0,4,25.9,128.3,960.0,40.0
1996,8,12,6,4,26.3,127.9,960.0,40.0
1996,8,12,12,4,26.6,127.7,960.0,40.0
1996,8,12,18,4,27.1,127.5,960.0,40.0
1996,8,13,0,4,27.8,127.7,960.0,40.0
1996,8,13,6,4,28.5,128.1,960.0,40.0
1996,8,13,12,4,30.0,128.7,960.0,40.0
1996,8,13,18,4,30.9,129.3,960.0,40.0
1996,8,14,0,4,32.4,130.3,960.0,40.0
1996,8,14,6,4,33.9,131.6,970.0,35.0
1996,8,14,12,3,35.4,134.4,980.0,30.0
1996,8,14,18,3,37.2,136.3,985.0,25.0
1996,8,15,0,3,38.5,139.5,985.0,25.0
1996,8,15,6,2,39.6,143.1,985.0,20.0
1996,8,15,12,2,40.6,145.1,985.0,20.0
