year,month,day,hour,power,lat,lng,PRES,WND
1996,8,22,18,1,23.0,142.5,1002.0,15.0
1996,8,23,0,1,23.3,142.3,1000.0,15.0
1996,8,23,6,1,23.7,142.0,1000.0,15.0
1996,8,23,12,2,23.7,142.0,998.0,18.0
1996,8,23,18,2,23.9,142.4,995.0,20.0
1996,8,24,0,2,24.0,143.0,990.0,23.0
1996,8,24,6,3,24.3,143.7,985.0,25.0
1996,8,24,12,3,24.3,144.6,980.0,30.0
1996,8,24,18,3,24.3,145.3,975.0,30.0
1996,8,25,0,4,24.3,146.6,965.0,35.0
1996,8,25,6,4,24.7,147.4,960.0,40.0
1996,8,25,12,4,24.9,148.1,960.0,40.0
1996,8,25,18,4,25.2,148.9,960.0,40.0
1996,8,26,0,4,25.5,149.6,960.0,40.0
1996,8,26,6,4,25.8,150.1,960.0,40.0
1996,8,26,12,4,26.1,150.6,960.0,40.0
1996,8,26,18,4,26.3,151.0,960.0,40.0
1996,8,27,0,4,26.3,151.3,965.0,35.0
1996,8,27,6,4,26.3,151.7,970.0,35.0
1996,8,27,12,4,26.3,151.7,970.0,35.0
1996,8,27,18,4,26.3,151.7,975.0,33.0
1996,8,28,0,4,26.3,151.7,975.0,33.0
1996,8,28,6,4,26.7,151.6,975.0,33.0
1996,8,28,12,3,26.6,151.2,975.0,30.0
1996,8,28,18,3,26.5,150.7,975.0,30.0
1996,8,29,0,3,26.4,150.2,980.0,30.0
1996,8,29,6,3,26.7,149.6,985.0,25.0
1996,8,29,12,3,27.0,148.9,985.0,25.0
1996,8,29,18,2,27.2,148.3,990.0,23.0
1996,8,30,0,2,27.5,147.8,990.0,23.0
1996,8,30,6,2,28.0,147.1,992.0,20.0
1996,8,30,12,2,28.3,146.5,992.0,20.0
1996,8,30,18,2,28.6,145.8,992.0,20.0
1996,8,31,0,2,29.0,145.0,992.0,20.0
1996,8,31,6,2,29.4,144.5,992.0,20.0
1996,8,31,12,2,29.8,144.0,992.0,20.0
1996,8,31,18,2,30.3,143.6,992.0,20.0
1996,9,1,0,2,30.8,143.3,992.0,20.0
1996,9,1,6,2,31.7,143.2,992.0,20.0
1996,9,1,12,2,32.7,144.0,992.0,20.0
1996,9,1,18,2,33.7,144.8,992.0,20.0
1996,9,2,0,2,35.2,145.7,992.0,20.0
1996,9,2,6,2,36.8,147.1,992.0,20.0
1996,9,2,12,2,38.5,149.2,992.0,20.0
1996,9,2,18,2,40.0,151.5,992.0,20.0
1996,9,3,0,2,41.0,153.5,992.0,20.0
1996,9,3,6,2,42.0,156.5,992.0,20.0
1996,9,3,12,9,43.0,160.0,992.0,20.0
1996,9,3,18,9,44.0,165.0,992.0,20.0
