year,month,day,hour,power,lat,lng,PRES,WND
1997,8,27,6,1,18.5,114.1,1004.0,12.0
1997,8,27,12,1,18.3,114.2,1004.0,12.0
1997,8,27,18,1,18.0,114.5,1002.0,12.0
1997,8,28,0,1,17.8,114.8,1002.0,12.0
1997,8,28,6,1,17.5,114.9,1000.0,15.0
1997,8,28,12,1,17.2,115.3,1000.0,15.0
1997,8,28,18,1,17.2,115.7,1000.0,15.0
1997,8,29,0,1,17.2,116.1,998.0,15.0
1997,8,29,6,1,17.8,116.8,998.0,15.0
1997,8,29,12,2,18.8,117.6,994.0,20.0
1997,8,29,18,2,20.3,118.0,994.0,20.0
1997,8,30,0,2,22.2,118.2,992.0,20.0
1997,8,30,6,1,24.8,118.5,998.0,15.0
1997,8,30,12,0,26.0,117.8,1002.0,10.0
