year,month,day,hour,power,lat,lng,PRES,WND
1997,4,12,0,0,7.5,158.5,1002.0,10.0
1997,4,12,6,1,7.4,158.1,1002.0,12.0
1997,4,12,12,1,7.4,157.7,1000.0,15.0
1997,4,12,18,1,7.6,157.3,1000.0,15.0
1997,4,13,0,1,8.0,157.0,1000.0,15.0
1997,4,13,6,2,8.5,157.0,995.0,18.0
1997,4,13,12,2,8.9,156.9,995.0,18.0
1997,4,13,18,2,9.3,156.5,995.0,18.0
1997,4,14,0,2,9.8,155.4,995.0,20.0
1997,4,14,6,2,10.2,154.3,992.0,20.0
1997,4,14,12,2,10.2,153.2,990.0,23.0
1997,4,14,18,2,10.1,152.1,990.0,23.0
1997,4,15,0,3,10.1,150.6,990.0,25.0
1997,4,15,6,3,10.1,149.2,985.0,25.0
1997,4,15,12,3,10.2,148.2,985.0,25.0
1997,4,15,18,3,10.2,147.3,980.0,30.0
1997,4,16,0,4,10.3,146.7,975.0,33.0
1997,4,16,6,4,10.6,145.9,975.0,33.0
1997,4,16,12,4,10.8,145.1,975.0,33.0
1997,4,16,18,4,11.2,144.3,975.0,33.0
1997,4,17,0,4,11.5,143.5,970.0,35.0
1997,4,17,6,4,11.9,142.8,965.0,40.0
1997,4,17,12,4,12.4,142.0,960.0,40.0
1997,4,17,18,4,12.8,141.2,960.0,40.0
1997,4,18,0,4,13.1,140.5,960.0,40.0
1997,4,18,6,4,13.3,139.8,960.0,40.0
1997,4,18,12,4,13.5,139.3,960.0,40.0
1997,4,18,18,4,13.8,138.9,960.0,40.0
1997,4,19,0,4,14.2,138.5,960.0,40.0
1997,4,19,6,5,14.9,138.1,955.0,45.0
1997,4,19,12,5,15.3,137.9,945.0,50.0
1997,4,19,18,5,16.0,137.7,945.0,50.0
1997,4,20,0,5,16.6,137.6,945.0,50.0
1997,4,20,6,5,17.4,137.6,945.0,50.0
1997,4,20,12,5,18.2,137.5,945.0,50.0
1997,4,20,18,5,19.2,137.5,945.0,50.0
1997,4,21,0,4,20.0,137.6,955.0,40.0
1997,4,21,6,4,20.9,138.0,960.0,40.0
1997,4,21,12,4,22.1,138.7,960.0,40.0
1997,4,21,18,4,23.3,139.0,970.0,35.0
1997,4,22,0,4,24.5,139.7,975.0,33.0
1997,4,22,6,4,25.7,141.1,975.0,33.0
1997,4,22,12,3,27.0,142.7,980.0,30.0
1997,4,22,18,3,27.7,144.0,985.0,28.0
1997,4,23,0,3,27.9,145.7,990.0,25.0
1997,4,23,6,2,28.8,148.2,995.0,20.0
1997,4,23,12,2,29.8,151.3,995.0,20.0
1997,4,23,18,2,31.0,154.7,995.0,20.0
1997,4,24,0,1,32.4,158.2,1000.0,15.0
1997,4,24,6,1,34.4,161.6,1000.0,15.0
1997,4,24,12,1,36.5,164.6,1004.0,12.0
