year,month,day,hour,power,lat,lng,PRES,WND
1997,6,7,6,0,11.3,151.0,1006.0,10.0
1997,6,7,12,1,12.2,150.6,1004.0,12.0
1997,6,7,18,1,12.8,150.4,1000.0,15.0
1997,6,8,0,1,13.3,150.2,998.0,15.0
1997,6,8,6,2,14.0,149.9,995.0,20.0
1997,6,8,12,2,14.4,149.8,990.0,23.0
1997,6,8,18,3,14.7,149.7,990.0,25.0
1997,6,9,0,3,15.2,149.5,980.0,30.0
1997,6,9,6,4,15.6,149.2,970.0,35.0
1997,6,9,12,5,16.0,149.1,955.0,45.0
1997,6,9,18,5,16.6,148.9,955.0,45.0
1997,6,10,0,5,17.2,148.6,950.0,45.0
1997,6,10,6,5,17.8,148.0,940.0,50.0
1997,6,10,12,5,18.3,147.5,940.0,50.0
1997,6,10,18,5,18.8,146.9,940.0,50.0
1997,6,11,0,5,19.5,146.1,940.0,50.0
1997,6,11,6,5,20.1,145.2,950.0,45.0
1997,6,11,12,5,20.6,144.5,950.0,45.0
1997,6,11,18,5,21.3,143.6,950.0,45.0
1997,6,12,0,5,22.0,142.9,950.0,45.0
1997,6,12,6,5,23.0,142.1,955.0,45.0
1997,6,12,12,4,23.9,141.8,960.0,40.0
1997,6,12,18,4,25.1,141.5,960.0,40.0
1997,6,13,0,4,26.5,141.6,970.0,35.0
1997,6,13,6,4,28.0,142.0,970.0,35.0
1997,6,13,12,3,29.6,143.0,980.0,30.0
1997,6,13,18,3,31.1,144.3,980.0,30.0
1997,6,14,0,3,33.0,145.9,985.0,28.0
1997,6,14,6,3,35.3,149.1,990.0,25.0
1997,6,14,12,9,36.7,151.7,995.0,20.0
