year,month,day,hour,power,lat,lng,PRES,WND
1997,6,22,6,1,13.2,132.3,1002.0,12.0
1997,6,22,12,1,13.2,132.3,1002.0,12.0
1997,6,22,18,1,13.3,132.1,1002.0,12.0
1997,6,23,0,1,13.4,131.8,1002.0,12.0
1997,6,23,6,1,13.5,131.3,1000.0,15.0
1997,6,23,12,1,13.7,130.9,998.0,15.0
1997,6,23,18,1,14.0,130.5,998.0,15.0
1997,6,24,0,1,14.5,130.0,998.0,15.0
1997,6,24,6,1,15.4,129.1,998.0,15.0
1997,6,24,12,1,16.1,128.2,998.0,15.0
1997,6,24,18,1,16.9,127.6,998.0,15.0
1997,6,25,0,2,17.6,127.3,998.0,18.0
1997,6,25,6,2,18.3,127.1,995.0,20.0
1997,6,25,12,2,18.8,127.0,990.0,23.0
1997,6,25,18,3,19.7,126.7,985.0,25.0
1997,6,26,0,3,20.7,126.4,985.0,25.0
1997,6,26,6,3,22.1,126.2,985.0,28.0
1997,6,26,12,3,23.5,126.5,985.0,28.0
1997,6,26,18,3,24.9,126.4,980.0,30.0
1997,6,27,0,3,26.4,126.3,980.0,30.0
1997,6,27,6,4,28.7,126.7,970.0,33.0
1997,6,27,12,3,30.0,127.1,975.0,30.0
1997,6,27,18,3,31.6,128.0,975.0,30.0
1997,6,28,0,3,32.8,129.6,975.0,30.0
1997,6,28,6,3,34.0,132.4,980.0,25.0
1997,6,28,12,3,35.7,136.3,980.0,25.0
1997,6,28,18,3,37.0,140.6,980.0,25.0
1997,6,29,0,9,40.1,147.3,984.0,25.0
