year,month,day,hour,power,lat,lng,PRES,WND
1997,7,18,0,0,9.8,138.7,1004.0,10.0
1997,7,18,6,0,10.1,138.2,1004.0,10.0
1997,7,18,12,1,10.4,138.1,1002.0,12.0
1997,7,18,18,1,10.7,138.0,1002.0,12.0
1997,7,19,0,1,11.1,137.8,1002.0,12.0
1997,7,19,6,1,11.7,137.7,1000.0,15.0
1997,7,19,12,1,12.2,137.4,1000.0,15.0
1997,7,19,18,1,12.8,137.2,1000.0,15.0
1997,7,20,0,2,13.3,136.9,998.0,18.0
1997,7,20,6,2,13.9,136.5,995.0,20.0
1997,7,20,12,3,14.4,135.9,985.0,25.0
1997,7,20,18,3,14.8,135.4,985.0,28.0
1997,7,21,0,3,15.3,134.8,980.0,30.0
1997,7,21,6,3,15.9,134.1,980.0,30.0
1997,7,21,12,4,16.5,133.5,970.0,35.0
1997,7,21,18,4,16.9,133.2,970.0,35.0
1997,7,22,0,4,17.6,132.6,960.0,40.0
1997,7,22,6,5,17.8,132.2,950.0,50.0
1997,7,22,12,5,18.1,132.1,945.0,50.0
1997,7,22,18,5,18.6,131.9,945.0,50.0
1997,7,23,0,5,19.1,131.9,945.0,50.0
1997,7,23,6,6,19.9,131.9,935.0,55.0
1997,7,23,12,6,20.5,131.9,935.0,55.0
1997,7,23,18,6,21.4,132.1,935.0,55.0
1997,7,24,0,5,22.4,132.4,945.0,50.0
1997,7,24,6,5,23.4,132.7,945.0,50.0
1997,7,24,12,5,24.5,133.2,955.0,45.0
1997,7,24,18,4,25.9,133.6,965.0,40.0
1997,7,25,0,4,26.9,133.8,965.0,40.0
1997,7,25,6,4,28.3,134.2,965.0,40.0
1997,7,25,12,4,29.4,134.8,965.0,40.0
1997,7,25,18,4,30.7,135.1,970.0,35.0
1997,7,26,0,4,32.1,135.1,970.0,35.0
1997,7,26,6,4,33.2,134.8,975.0,33.0
1997,7,26,12,3,34.8,134.2,980.0,30.0
1997,7,26,18,3,35.5,132.6,985.0,25.0
1997,7,27,0,2,35.7,132.3,990.0,20.0
1997,7,27,6,2,35.8,132.6,995.0,20.0
1997,7,27,12,2,35.8,132.9,995.0,20.0
1997,7,27,18,1,35.8,133.3,998.0,15.0
1997,7,28,0,1,35.9,133.9,1000.0,15.0
1997,7,28,6,1,36.0,135.6,1002.0,12.0
