year,month,day,hour,power,lat,lng,PRES,WND
1997,7,31,0,1,13.4,136.5,1000.0,15.0
1997,7,31,6,2,13.5,135.5,998.0,18.0
1997,7,31,12,2,13.5,135.0,998.0,18.0
1997,7,31,18,2,13.5,135.0,995.0,20.0
1997,8,1,0,2,13.5,135.0,995.0,20.0
1997,8,1,6,2,13.6,134.7,990.0,23.0
1997,8,1,12,2,13.7,134.5,990.0,23.0
1997,8,1,18,3,13.7,134.1,985.0,25.0
1997,8,2,0,3,13.8,133.2,980.0,30.0
1997,8,2,6,3,14.0,132.5,980.0,30.0
1997,8,2,12,3,14.2,132.1,980.0,30.0
1997,8,2,18,3,14.3,131.8,980.0,30.0
1997,8,3,0,3,14.6,131.5,980.0,30.0
1997,8,3,6,3,15.0,130.9,980.0,30.0
1997,8,3,12,3,15.4,130.3,980.0,30.0
1997,8,3,18,3,16.3,130.0,980.0,30.0
1997,8,4,0,4,17.1,129.1,975.0,33.0
1997,8,4,6,4,18.1,128.7,975.0,33.0
1997,8,4,12,4,18.8,127.9,975.0,33.0
1997,8,4,18,4,19.2,127.5,975.0,33.0
1997,8,5,0,4,20.1,127.0,970.0,35.0
1997,8,5,6,4,20.9,126.6,960.0,40.0
1997,8,5,12,5,21.6,126.4,955.0,45.0
1997,8,5,18,4,22.1,126.2,960.0,40.0
1997,8,6,0,4,23.2,126.2,960.0,40.0
1997,8,6,6,4,24.1,126.4,960.0,40.0
1997,8,6,12,4,25.0,126.4,960.0,40.0
1997,8,6,18,4,25.7,126.4,960.0,40.0
1997,8,7,0,4,26.8,126.4,960.0,40.0
1997,8,7,6,4,27.6,126.3,970.0,35.0
1997,8,7,12,4,28.2,126.2,970.0,35.0
1997,8,7,18,4,29.1,126.2,975.0,33.0
1997,8,8,0,3,30.1,126.2,980.0,30.0
1997,8,8,6,3,31.3,126.2,980.0,30.0
1997,8,8,12,3,32.4,126.2,980.0,28.0
1997,8,8,18,2,33.9,127.0,985.0,20.0
1997,8,9,0,2,35.3,128.6,990.0,18.0
1997,8,9,6,2,37.5,131.0,990.0,18.0
1997,8,9,12,9,39.9,134.8,995.0,18.0
1997,8,9,18,9,41.9,139.0,995.0,18.0
1997,8,10,0,9,42.2,144.6,995.0,18.0
1997,8,10,6,9,42.1,149.4,995.0,18.0
1997,8,10,12,9,41.6,154.6,998.0,18.0
1997,8,10,18,9,41.5,157.7,998.0,15.0
