year,month,day,hour,power,lat,lng,PRES,WND
1997,7,31,0,1,16.7,114.7,998.0,15.0
1997,7,31,6,2,17.0,114.5,995.0,18.0
1997,7,31,12,2,17.1,114.1,995.0,20.0
1997,7,31,18,2,16.9,113.9,995.0,20.0
1997,8,1,0,2,17.4,114.0,985.0,23.0
1997,8,1,6,2,18.2,114.1,980.0,23.0
1997,8,1,12,3,18.7,114.2,980.0,25.0
1997,8,1,18,3,19.3,114.1,980.0,25.0
1997,8,2,0,3,20.3,114.1,975.0,30.0
1997,8,2,6,3,21.1,113.9,968.0,30.0
1997,8,2,12,3,22.3,114.1,970.0,30.0
1997,8,2,18,3,23.7,113.7,980.0,25.0
1997,8,3,0,1,25.2,113.4,990.0,12.0
1997,8,3,6,0,26.8,113.8,995.0,10.0
1997,8,3,12,0,28.4,114.2,995.0,10.0
1997,8,3,18,0,30.0,115.0,997.0,10.0
1997,8,4,0,0,31.4,115.9,998.0,10.0
1997,8,4,6,0,32.5,117.0,998.0,10.0
