year,month,day,hour,power,lat,lng,PRES,WND
1997,8,8,0,0,11.2,158.9,1006.0,10.0
1997,8,8,6,0,11.9,158.3,1006.0,10.0
1997,8,8,12,0,12.6,157.4,1004.0,10.0
1997,8,8,18,1,13.6,156.4,1002.0,12.0
1997,8,9,0,1,14.2,155.7,1000.0,15.0
1997,8,9,6,1,14.5,155.3,1000.0,15.0
1997,8,9,12,1,14.8,155.0,1000.0,15.0
1997,8,9,18,2,15.1,154.5,995.0,20.0
1997,8,10,0,2,15.4,153.8,990.0,23.0
1997,8,10,6,3,15.8,152.8,985.0,25.0
1997,8,10,12,3,16.0,151.8,980.0,30.0
1997,8,10,18,4,16.1,151.0,980.0,33.0
1997,8,11,0,4,16.3,150.1,980.0,33.0
1997,8,11,6,4,16.4,149.4,970.0,35.0
1997,8,11,12,4,16.6,148.7,960.0,40.0
1997,8,11,18,5,16.9,148.0,955.0,45.0
1997,8,12,0,5,17.3,147.2,945.0,50.0
1997,8,12,6,6,17.8,146.0,930.0,55.0
1997,8,12,12,6,18.1,144.8,920.0,60.0
1997,8,12,18,6,18.4,143.9,920.0,60.0
1997,8,13,0,6,18.8,143.2,920.0,60.0
1997,8,13,6,6,19.6,142.3,920.0,60.0
1997,8,13,12,6,20.1,141.3,920.0,60.0
1997,8,13,18,6,20.6,140.3,930.0,55.0
1997,8,14,0,5,20.9,139.4,935.0,50.0
1997,8,14,6,5,21.6,138.8,935.0,50.0
1997,8,14,12,5,22.2,137.8,945.0,45.0
1997,8,14,18,5,22.4,136.6,950.0,45.0
1997,8,15,0,5,22.7,135.7,950.0,45.0
1997,8,15,6,5,23.0,135.0,950.0,45.0
1997,8,15,12,5,23.3,134.1,950.0,45.0
1997,8,15,18,5,23.6,132.9,950.0,45.0
1997,8,16,0,5,23.8,132.1,950.0,45.0
1997,8,16,6,5,24.0,131.0,950.0,45.0
1997,8,16,12,5,24.1,130.2,950.0,45.0
1997,8,16,18,5,24.3,129.3,950.0,45.0
1997,8,17,0,4,24.8,128.2,960.0,40.0
1997,8,17,6,4,25.2,127.1,960.0,40.0
1997,8,17,12,4,25.4,126.1,960.0,40.0
1997,8,17,18,4,26.0,124.9,960.0,40.0
1997,8,18,0,4,26.7,123.9,960.0,40.0
1997,8,18,6,4,27.4,122.4,960.0,40.0
1997,8,18,12,4,28.0,121.8,960.0,40.0
1997,8,18,18,4,29.1,120.2,970.0,35.0
1997,8,19,0,3,30.0,119.0,980.0,28.0
1997,8,19,6,2,30.8,118.1,990.0,20.0
1997,8,19,12,2,31.7,117.6,990.0,20.0
1997,8,19,18,2,32.6,117.1,990.0,20.0
1997,8,20,0,2,34.7,117.7,994.0,20.0
