year,month,day,hour,power,lat,lng,PRES,WND
1998,7,8,0,1,20.1,118.3,1004.0,12.0
1998,7,8,6,1,20.8,118.8,1002.0,15.0
1998,7,8,12,1,21.6,118.7,1002.0,15.0
1998,7,8,18,1,22.1,118.6,1002.0,15.0
1998,7,9,0,1,22.5,118.6,1002.0,15.0
1998,7,9,6,2,22.8,119.0,998.0,18.0
1998,7,9,12,2,22.9,119.5,998.0,18.0
1998,7,9,18,2,23.0,120.3,998.0,18.0
1998,7,10,0,2,23.9,119.8,998.0,18.0
1998,7,10,6,1,24.2,119.3,1000.0,15.0
1998,7,10,12,1,24.4,119.1,1000.0,15.0
1998,7,10,18,1,24.5,118.7,1002.0,12.0
1998,7,11,0,1,24.4,118.1,1002.0,12.0
