year,month,day,hour,power,lat,lng,PRES,WND
1998,9,12,6,1,18.7,144.6,1002.0,15.0
1998,9,12,12,1,19.2,143.9,1002.0,15.0
1998,9,12,18,1,19.8,143.3,1002.0,15.0
1998,9,13,0,1,20.8,142.5,1002.0,15.0
1998,9,13,6,1,21.5,141.9,1000.0,15.0
1998,9,13,12,2,22.2,141.3,998.0,18.0
1998,9,13,18,2,22.7,141.1,998.0,18.0
1998,9,14,0,2,23.9,140.1,995.0,20.0
1998,9,14,6,2,25.4,139.2,995.0,20.0
1998,9,14,12,3,26.3,138.3,990.0,25.0
1998,9,14,18,3,27.0,137.8,985.0,28.0
1998,9,15,0,3,28.3,137.5,980.0,30.0
1998,9,15,6,3,29.8,137.0,980.0,30.0
1998,9,15,12,3,31.6,137.1,980.0,30.0
1998,9,15,18,9,33.6,137.9,975.0,30.0
1998,9,16,0,9,35.9,139.5,975.0,28.0
1998,9,16,6,9,40.5,141.6,975.0,25.0
1998,9,16,12,9,43.4,145.5,980.0,25.0
1998,9,16,18,9,45.2,147.2,980.0,18.0
