year,month,day,hour,power,lat,lng,PRES,WND
1999,9,17,18,1,20.0,131.0,1002.0,12.0
1999,9,18,0,1,20.2,130.7,1002.0,12.0
1999,9,18,6,1,20.4,130.4,1000.0,12.0
1999,9,18,12,1,20.7,130.3,1000.0,15.0
1999,9,18,18,1,21.4,129.6,998.0,15.0
1999,9,19,0,1,22.1,128.2,995.0,15.0
1999,9,19,6,2,23.0,126.9,992.0,18.0
1999,9,19,12,2,23.2,126.4,990.0,20.0
1999,9,19,18,2,23.5,125.6,990.0,23.0
1999,9,20,0,3,23.6,125.4,985.0,25.0
1999,9,20,6,3,23.8,125.3,975.0,30.0
1999,9,20,12,4,24.1,125.5,970.0,35.0
1999,9,20,18,4,24.1,125.5,970.0,35.0
1999,9,21,0,4,24.1,125.5,960.0,40.0
1999,9,21,6,4,24.5,125.8,960.0,40.0
1999,9,21,12,5,24.6,126.3,950.0,45.0
1999,9,21,18,5,25.0,126.7,950.0,45.0
1999,9,22,0,5,25.5,126.9,945.0,45.0
1999,9,22,6,5,25.9,127.0,935.0,50.0
1999,9,22,12,5,26.3,127.2,935.0,50.0
1999,9,22,18,5,27.0,127.2,935.0,50.0
1999,9,23,0,5,27.9,127.3,945.0,45.0
1999,9,23,6,5,28.9,127.8,945.0,45.0
1999,9,23,12,4,30.3,128.5,950.0,40.0
1999,9,23,18,4,31.8,129.7,955.0,40.0
1999,9,24,0,4,34.2,131.4,965.0,35.0
1999,9,24,6,4,37.1,133.7,970.0,33.0
1999,9,24,12,3,40.0,137.0,975.0,30.0
1999,9,24,18,3,42.9,140.3,980.0,30.0
1999,9,25,0,3,44.7,141.7,985.0,25.0
