year,month,day,hour,power,lat,lng,PRES,WND
1999,10,2,18,1,17.0,131.5,1000.0,12.0
1999,10,3,0,1,17.5,130.3,998.0,15.0
1999,10,3,6,1,18.0,129.4,998.0,15.0
1999,10,3,12,2,18.3,128.8,995.0,20.0
1999,10,3,18,2,18.4,127.7,992.0,20.0
1999,10,4,0,3,18.4,126.6,985.0,25.0
1999,10,4,6,3,18.2,125.6,980.0,30.0
1999,10,4,12,4,18.3,124.5,975.0,33.0
1999,10,4,18,4,18.1,123.5,970.0,35.0
1999,10,5,0,4,18.2,122.4,965.0,40.0
1999,10,5,6,4,18.4,121.4,965.0,40.0
1999,10,5,12,4,18.5,120.1,965.0,40.0
1999,10,5,18,4,18.5,119.5,970.0,35.0
1999,10,6,0,4,18.5,118.9,970.0,35.0
1999,10,6,6,4,18.8,118.3,970.0,35.0
1999,10,6,12,4,19.1,117.8,970.0,35.0
1999,10,6,18,4,19.5,117.7,970.0,35.0
1999,10,7,0,4,19.8,117.7,970.0,35.0
1999,10,7,6,4,20.2,117.9,970.0,35.0
1999,10,7,12,4,20.7,118.2,965.0,40.0
1999,10,7,18,4,21.3,118.2,965.0,40.0
1999,10,8,0,4,21.7,118.1,965.0,40.0
1999,10,8,6,4,22.2,117.9,965.0,40.0
1999,10,8,12,4,22.5,118.0,965.0,40.0
1999,10,8,18,4,23.3,118.1,965.0,40.0
1999,10,9,0,4,24.1,118.1,970.0,35.0
1999,10,9,6,3,24.7,118.0,980.0,30.0
1999,10,9,12,2,25.3,118.2,998.0,18.0
1999,10,9,18,1,26.1,118.3,1000.0,15.0
