year,month,day,hour,power,lat,lng,PRES,WND
1999,4,21,18,0,9.0,126.0,1004.0,10.0
1999,4,22,0,0,10.0,126.0,1004.0,10.0
1999,4,22,6,1,11.5,125.5,1002.0,12.0
1999,4,22,12,1,12.5,125.4,1002.0,12.0
1999,4,22,18,1,13.6,125.8,1002.0,12.0
1999,4,23,0,1,13.9,126.6,1000.0,12.0
1999,4,23,6,1,14.1,126.8,1000.0,12.0
1999,4,23,12,1,14.2,127.2,998.0,15.0
1999,4,23,18,2,14.3,127.8,998.0,18.0
1999,4,24,0,2,14.7,128.7,995.0,20.0
1999,4,24,6,2,15.0,129.2,992.0,23.0
1999,4,24,12,2,15.4,130.0,990.0,23.0
1999,4,24,18,2,16.0,130.5,990.0,23.0
1999,4,25,0,2,16.5,130.8,990.0,23.0
1999,4,25,6,3,17.4,131.3,985.0,25.0
1999,4,25,12,3,18.5,132.0,985.0,25.0
1999,4,25,18,3,19.2,132.3,985.0,28.0
1999,4,26,0,3,19.9,133.0,980.0,30.0
1999,4,26,6,3,20.6,133.9,980.0,30.0
1999,4,26,12,3,21.1,134.8,980.0,30.0
1999,4,26,18,3,22.1,136.3,985.0,25.0
1999,4,27,0,3,23.2,138.2,985.0,25.0
1999,4,27,6,3,24.0,140.1,985.0,25.0
1999,4,27,12,3,25.1,141.7,985.0,25.0
1999,4,27,18,3,26.2,143.3,985.0,25.0
1999,4,28,0,3,27.1,144.9,985.0,25.0
1999,4,28,6,2,28.2,147.1,990.0,20.0
1999,4,28,12,2,29.1,149.2,995.0,18.0
1999,4,28,18,2,30.1,151.8,995.0,18.0
1999,4,29,0,1,31.1,154.2,998.0,15.0
1999,4,29,6,1,31.5,156.7,998.0,15.0
1999,4,29,12,1,32.7,159.4,1000.0,15.0
1999,4,29,18,1,33.2,161.2,1004.0,12.0
1999,4,30,0,0,34.0,162.5,1006.0,10.0
1999,4,30,6,0,35.0,163.9,1008.0,10.0
