year,month,day,hour,power,lat,lng,PRES,WND
1999,8,18,0,1,13.6,129.7,1004.0,12.0
1999,8,18,6,1,14.0,129.0,1004.0,12.0
1999,8,18,12,1,14.2,128.2,1004.0,12.0
1999,8,18,18,1,14.5,127.1,1002.0,12.0
1999,8,19,0,1,14.8,125.8,1002.0,15.0
1999,8,19,6,2,15.7,124.5,998.0,20.0
1999,8,19,12,2,16.5,123.9,995.0,20.0
1999,8,19,18,2,17.5,123.2,990.0,23.0
1999,8,20,0,2,18.0,122.4,990.0,23.0
1999,8,20,6,3,18.5,121.0,985.0,25.0
1999,8,20,12,3,18.6,120.0,985.0,25.0
1999,8,20,18,3,18.9,119.2,985.0,25.0
1999,8,21,0,3,19.2,118.5,980.0,30.0
1999,8,21,6,3,19.9,117.7,980.0,30.0
1999,8,21,12,3,20.2,117.1,980.0,30.0
1999,8,21,18,3,21.0,116.0,980.0,30.0
1999,8,22,0,3,21.5,115.4,980.0,30.0
1999,8,22,6,4,22.2,114.6,975.0,33.0
1999,8,22,12,3,22.5,114.1,985.0,25.0
1999,8,22,18,2,23.0,113.3,992.0,20.0
1999,8,23,0,1,23.2,112.9,998.0,15.0
1999,8,23,6,1,23.8,112.8,1000.0,12.0
1999,8,23,12,1,24.3,112.8,1004.0,12.0
1999,8,23,18,0,25.0,113.2,1004.0,10.0
1999,8,24,0,0,25.7,113.8,1004.0,10.0
1999,8,24,6,0,26.7,114.1,1004.0,10.0
1999,8,24,12,0,28.0,114.7,1006.0,10.0
1999,8,24,18,0,30.0,115.7,1006.0,10.0
1999,8,25,0,0,31.0,117.2,1006.0,10.0
1999,8,25,6,0,31.8,119.8,1004.0,10.0
1999,8,25,12,0,32.5,121.6,1004.0,10.0
1999,8,25,18,1,33.3,123.4,1004.0,12.0
1999,8,26,0,1,34.4,126.6,1004.0,12.0
1999,8,26,6,1,35.4,129.9,1004.0,12.0
1999,8,26,12,0,36.3,132.2,1004.0,10.0
