year,month,day,hour,power,lat,lng,PRES,WND
1999,8,19,6,1,29.5,180.0,1006.0,12.0
1999,8,19,12,1,29.6,179.0,1006.0,12.0
1999,8,19,18,1,29.7,177.8,1004.0,15.0
1999,8,20,0,1,29.8,176.4,1004.0,15.0
1999,8,20,6,1,30.0,175.0,1002.0,15.0
1999,8,20,12,2,30.2,173.4,1000.0,18.0
1999,8,20,18,2,30.6,171.7,1000.0,20.0
1999,8,21,0,2,31.1,169.9,998.0,23.0
1999,8,21,6,3,31.4,168.3,998.0,25.0
1999,8,21,12,3,31.8,166.7,998.0,25.0
1999,8,21,18,2,32.1,165.2,1000.0,23.0
1999,8,22,0,2,32.6,163.8,1000.0,23.0
1999,8,22,6,2,33.2,162.3,1002.0,20.0
1999,8,22,12,2,33.9,161.1,1002.0,18.0
1999,8,22,18,1,34.6,159.9,1004.0,15.0
1999,8,23,0,1,35.5,158.5,1006.0,12.0
