year,month,day,hour,power,lat,lng,PRES,WND
1999,8,24,18,1,25.6,141.3,1008.0,12.0
1999,8,25,0,1,25.9,141.8,1006.0,15.0
1999,8,25,6,2,26.2,142.7,1002.0,20.0
1999,8,25,12,2,26.4,143.8,995.0,23.0
1999,8,25,18,3,26.6,144.2,995.0,25.0
1999,8,26,0,3,26.9,144.8,995.0,25.0
1999,8,26,6,3,27.3,145.3,998.0,25.0
1999,8,26,12,3,27.7,145.6,998.0,25.0
1999,8,26,18,2,28.1,145.6,1000.0,20.0
1999,8,27,0,2,28.3,145.6,1000.0,20.0
1999,8,27,6,1,28.7,146.0,1004.0,15.0
1999,8,27,12,1,29.0,146.3,1006.0,12.0
1999,8,27,18,1,29.3,146.7,1006.0,12.0
1999,8,28,0,1,29.5,147.2,1006.0,12.0
