year,month,day,hour,power,lat,lng,PRES,WND
1999,9,12,18,0,23.5,137.0,1004.0,10.0
1999,9,13,0,1,25.2,135.9,1004.0,12.0
1999,9,13,6,1,27.3,134.1,1002.0,15.0
1999,9,13,12,1,28.3,132.8,1002.0,15.0
1999,9,13,18,1,29.0,132.4,1000.0,15.0
1999,9,14,0,2,29.9,131.8,994.0,18.0
1999,9,14,6,2,31.3,131.2,990.0,20.0
1999,9,14,12,2,32.1,131.5,990.0,20.0
1999,9,14,18,2,33.3,132.6,990.0,18.0
1999,9,15,0,1,34.4,134.6,995.0,15.0
1999,9,15,6,1,35.7,137.6,1000.0,12.0
1999,9,15,12,1,37.0,141.7,1004.0,12.0
1999,9,15,18,0,37.9,144.9,1006.0,10.0
1999,9,16,0,0,39.0,149.0,1008.0,10.0
