year,month,day,hour,power,lat,lng,PRES,WND
2000,10,31,6,1,9.1,132.0,1002.0,15.0
2000,10,31,12,1,9.5,130.7,1002.0,15.0
2000,10,31,18,1,10.1,129.9,1002.0,15.0
2000,11,1,0,2,10.4,129.2,998.0,18.0
2000,11,1,6,2,11.3,128.1,998.0,18.0
2000,11,1,12,2,12.1,127.0,995.0,20.0
2000,11,1,18,3,12.8,126.0,990.0,25.0
2000,11,2,0,3,13.6,124.9,990.0,25.0
2000,11,2,6,3,14.2,123.5,980.0,30.0
2000,11,2,12,3,14.5,122.5,980.0,30.0
2000,11,2,18,4,14.7,121.5,975.0,33.0
2000,11,3,0,4,14.8,120.5,975.0,33.0
2000,11,3,6,4,15.0,119.7,975.0,33.0
2000,11,3,12,3,15.3,119.0,985.0,25.0
2000,11,3,18,3,15.7,118.3,985.0,25.0
2000,11,4,0,3,16.1,117.7,985.0,25.0
2000,11,4,6,3,16.3,117.4,985.0,25.0
2000,11,4,12,3,16.6,117.2,985.0,25.0
2000,11,4,18,3,16.9,117.0,985.0,25.0
2000,11,5,0,3,17.3,116.9,980.0,30.0
2000,11,5,6,3,17.8,116.8,980.0,30.0
2000,11,5,12,3,18.4,116.7,980.0,30.0
2000,11,5,18,3,19.1,116.8,980.0,30.0
2000,11,6,0,3,19.7,117.0,975.0,30.0
2000,11,6,6,3,20.1,117.0,975.0,30.0
2000,11,6,12,3,20.3,116.8,980.0,28.0
2000,11,6,18,2,20.4,116.4,998.0,18.0
2000,11,7,0,1,20.4,115.7,1000.0,15.0
2000,11,7,6,1,20.5,114.9,1000.0,15.0
2000,11,7,12,0,20.7,114.0,1004.0,10.0
