year,month,day,hour,power,lat,lng,PRES,WND
2000,5,5,0,1,9.6,136.0,1004.0,15.0
2000,5,5,6,1,9.9,135.0,1004.0,15.0
2000,5,5,12,1,10.2,134.4,1004.0,15.0
2000,5,5,18,1,10.7,133.7,1002.0,15.0
2000,5,6,0,1,11.1,133.0,1002.0,15.0
2000,5,6,6,1,11.8,132.3,1002.0,15.0
2000,5,6,12,1,12.5,132.1,1000.0,15.0
2000,5,6,18,1,13.0,131.8,1000.0,15.0
2000,5,7,0,2,13.2,131.6,995.0,20.0
2000,5,7,6,3,13.4,131.3,985.0,25.0
2000,5,7,12,3,13.7,131.2,980.0,28.0
2000,5,7,18,3,13.8,131.3,980.0,30.0
2000,5,8,0,4,14.0,131.5,975.0,33.0
2000,5,8,6,4,14.3,132.0,970.0,35.0
2000,5,8,12,4,14.6,132.4,970.0,35.0
2000,5,8,18,4,15.1,133.0,965.0,40.0
2000,5,9,0,5,15.6,133.5,955.0,45.0
2000,5,9,6,5,16.4,134.4,945.0,50.0
2000,5,9,12,5,17.3,135.3,940.0,50.0
2000,5,9,18,5,18.7,136.0,935.0,50.0
2000,5,10,0,5,19.5,136.8,935.0,50.0
2000,5,10,6,5,20.8,137.8,945.0,45.0
2000,5,10,12,4,22.2,138.8,955.0,40.0
2000,5,10,18,4,23.0,139.5,955.0,40.0
2000,5,11,0,4,23.7,139.9,965.0,35.0
2000,5,11,6,3,25.1,141.1,975.0,30.0
2000,5,11,12,3,26.0,142.0,980.0,28.0
2000,5,11,18,3,26.9,143.5,980.0,25.0
2000,5,12,0,2,27.7,145.9,990.0,20.0
2000,5,12,6,2,28.3,147.9,995.0,18.0
2000,5,12,12,9,28.4,149.5,998.0,15.0
