year,month,day,hour,power,lat,lng,PRES,WND
2000,7,2,12,1,15.3,117.2,1002.0,12.0
2000,7,2,18,1,15.7,117.5,1002.0,12.0
2000,7,3,0,1,15.9,117.8,1000.0,12.0
2000,7,3,6,1,16.0,118.3,998.0,15.0
2000,7,3,12,1,16.1,118.8,998.0,15.0
2000,7,3,18,1,16.2,119.1,998.0,15.0
2000,7,4,0,1,16.5,119.5,998.0,15.0
2000,7,4,6,1,17.3,120.1,995.0,15.0
2000,7,4,12,1,18.4,120.6,995.0,15.0
2000,7,4,18,1,18.8,120.7,995.0,15.0
2000,7,5,0,1,18.8,120.7,995.0,15.0
2000,7,5,6,1,18.8,120.7,995.0,15.0
2000,7,5,12,1,19.1,120.3,995.0,15.0
2000,7,5,18,2,19.5,120.1,990.0,20.0
2000,7,6,0,3,19.6,119.9,985.0,25.0
2000,7,6,6,3,19.7,119.6,980.0,28.0
2000,7,6,12,3,20.0,119.1,975.0,30.0
2000,7,6,18,3,20.1,118.7,975.0,30.0
2000,7,7,0,4,19.5,118.3,970.0,33.0
2000,7,7,6,4,19.7,118.7,970.0,35.0
2000,7,7,12,4,19.7,118.9,970.0,35.0
2000,7,7,18,4,19.8,119.0,965.0,35.0
2000,7,8,0,4,20.0,119.4,965.0,35.0
2000,7,8,6,4,20.2,119.6,965.0,35.0
2000,7,8,12,4,20.5,120.2,970.0,33.0
2000,7,8,18,4,21.2,120.9,975.0,33.0
2000,7,9,0,3,22.7,121.4,980.0,30.0
2000,7,9,6,3,24.7,121.6,980.0,30.0
2000,7,9,12,3,26.3,121.4,980.0,30.0
2000,7,9,18,3,28.0,121.4,980.0,30.0
2000,7,10,0,3,30.0,121.4,985.0,25.0
2000,7,10,6,2,32.4,121.8,990.0,23.0
2000,7,10,12,2,34.4,122.9,992.0,20.0
2000,7,10,18,2,36.5,123.2,992.0,18.0
2000,7,11,0,2,38.3,123.7,992.0,18.0
2000,7,11,6,2,39.8,124.0,992.0,18.0
2000,7,11,12,1,41.0,125.5,998.0,12.0
