year,month,day,hour,power,lat,lng,PRES,WND
2000,5,17,12,0,16.0,119.2,1002.0,10.0
2000,5,17,18,1,16.1,120.5,1000.0,12.0
2000,5,18,0,1,16.2,121.2,1000.0,12.0
2000,5,18,6,1,17.9,122.5,998.0,12.0
2000,5,18,12,1,19.0,123.3,998.0,12.0
2000,5,18,18,1,20.4,124.5,998.0,15.0
2000,5,19,0,2,21.3,125.5,995.0,20.0
2000,5,19,6,2,22.3,126.9,995.0,20.0
2000,5,19,12,2,23.2,128.6,995.0,20.0
2000,5,19,18,2,24.7,130.8,990.0,23.0
2000,5,20,0,2,26.4,135.0,995.0,20.0
2000,5,20,6,9,28.2,139.0,998.0,15.0
2000,5,20,12,9,30.2,142.0,1000.0,15.0
2000,5,20,18,9,31.3,144.8,1000.0,15.0
2000,5,21,0,9,33.5,146.8,1000.0,15.0
